winsorized_Adult_Mortality,winsorized_Infant_Deaths,winsorized_Alcohol,winsorized_Percentage_Exp,winsorized_HepatitisB,winsorized_Under_Five_Deaths,winsorized_Polio,winsorized_Tot_Exp,winsorized_Diphtheria,winsorized_HIV,winsorized_GDP,winsorized_Population,winsorized_thinness_1to19_years,winsorized_thinness_5to9_years,winsorized_Income_Comp_Of_Resources,winsorized_Schooling,BMI
143.0,44,1.54,421.296,71.0,54,85.0,4.95,85.0,0.1,4316.554,6324121.0,5.3,5.2,0.641,10.7,53.5
57.0,0,10.69,1109.855,96.0,0,99.0,7.54,99.0,0.1,8787.614,1124835.0,0.9,1.0,0.847,13.8,58.3
273.0,5,9.46,456.459,84.0,6,91.0,6.63,45.0,0.4,3891.378,462582.0,2.5,2.6,0.73,14.9,57.6
246.0,1,6.63,16.755,85.0,1,79.0,5.85,88.0,1.1,946.599,75331.0,5.9,5.8,0.602,10.9,35.7
118.0,0,6.21,1109.855,95.0,1,95.0,8.63,95.0,0.1,8787.614,3374415.0,1.5,1.5,0.777,15.6,61.2
13.0,1,2.1,618.361,75.0,1,74.0,8.91,75.0,0.1,5424.224,3863267.0,4.7,4.6,0.27,14.2,6.2
278.0,55,0.57,102.141,74.0,87,74.0,6.74,74.0,1.6,689.678,14138216.0,9.2,9.0,0.36,5.8,19.6
152.0,15,4.5,34.703,65.0,19,95.0,4.6,94.0,0.4,218.26,17153357.0,1.3,1.3,0.686,13.3,47.4
362.0,46,0.01,11.302,37.0,78,45.0,3.62,45.0,2.9,125.999,13569438.0,8.7,8.5,0.39,7.3,18.7
81.0,1,9.68,1109.855,18.0,1,97.0,8.34,97.0,0.1,8787.614,16148929.0,1.1,1.0,0.882,16.9,53.4
161.0,0,1.0,43.198,59.0,0,67.0,3.96,68.0,0.1,247.978,214634.0,1.6,1.5,0.572,10.6,45.7
323.0,14,1.21,41.961,83.0,21,83.0,5.37,83.0,3.2,487.924,652952.0,7.3,7.2,0.449,11.0,21.4
426.0,3,5.09,205.808,83.0,4,79.0,6.18,78.0,3.2,1834.295,1933596.0,15.2,15.4,0.556,11.7,25.1
163.0,64,0.04,60.186,72.0,87,72.0,2.7,72.0,0.1,1272.442,17153357.0,16.1,2.0,0.538,7.7,23.9
186.0,0,6.76,569.953,96.0,0,96.0,5.85,96.0,0.2,4344.152,32168.0,3.5,3.4,0.7,12.4,47.0
214.0,0,0.48,10.624,67.0,0,61.0,1.39,62.0,0.1,113.629,9542.0,0.2,0.2,0.27,12.4,71.4
81.0,0,9.95,1109.855,93.0,1,96.0,9.36,96.0,0.1,8787.614,1987314.0,0.8,0.7,0.839,15.6,6.5
363.0,64,0.79,10.972,47.0,87,55.0,4.64,45.0,3.2,118.873,17153357.0,11.6,11.5,0.306,5.2,13.2
228.0,7,0.02,4.113,42.0,12,91.0,5.31,89.0,1.2,46.954,2873228.0,1.5,1.3,0.446,6.5,22.3
395.0,57,5.44,7.563,82.0,87,81.0,4.76,82.0,3.2,111.712,17153357.0,6.6,6.6,0.456,8.0,24.4
6.0,2,6.95,1109.855,96.0,2,96.0,9.42,96.0,0.1,8787.614,17153357.0,0.5,0.5,0.869,16.4,61.0
93.0,3,12.2,1109.855,35.0,4,98.0,1.6,98.0,0.1,8787.614,17153357.0,0.6,0.6,0.86,15.5,57.5
219.0,0,0.6,59.972,85.0,0,88.0,9.0,85.0,0.1,734.949,85858.0,0.2,0.2,0.27,10.4,68.8
1.0,1,1.82,534.58,78.0,1,75.0,8.83,78.0,0.1,5372.659,45735.0,4.7,4.6,0.733,13.2,61.4
26.0,0,0.53,30.467,95.0,0,95.0,1.42,99.0,0.1,1692.613,14656.0,0.1,0.1,0.585,11.9,75.7
192.0,13,2.4,380.963,85.0,16,85.0,6.86,85.0,0.4,2489.956,137286.0,1.3,1.3,0.578,10.1,45.2
191.0,2,2.36,469.39,89.0,2,89.0,6.91,89.0,0.3,3474.392,6164626.0,1.7,1.6,0.662,12.9,52.8
283.0,25,1.23,40.488,18.0,40,76.0,4.27,75.0,2.1,418.699,7295394.0,9.3,9.2,0.407,7.3,19.2
74.0,0,4.6,364.975,99.0,0,99.0,6.0,99.0,0.1,3954.228,28873.0,1.2,1.3,0.762,14.2,58.0
16.0,1,10.48,456.34,96.0,1,97.0,7.8,96.0,0.1,3893.69,7658972.0,2.2,2.3,0.745,13.5,59.7
23.0,0,2.31,60.651,99.0,0,99.0,4.26,99.0,0.1,3369.482,851967.0,4.0,3.7,0.704,14.5,58.0
157.0,2,3.58,366.484,98.0,3,99.0,8.43,98.0,0.1,1847.198,5945747.0,1.8,1.7,0.63,11.5,52.4
24.0,0,12.1,76.362,94.0,0,45.0,5.67,94.0,0.1,676.967,337775.0,3.1,3.1,0.792,16.3,58.1
138.0,38,1.47,35.557,72.0,46,78.0,5.36,78.0,0.1,366.57,6514354.0,5.2,5.0,0.658,11.5,55.1
67.0,0,1.92,1079.894,96.0,0,96.0,8.11,96.0,0.1,6497.554,377.0,13.9,14.0,0.663,11.8,23.1
172.0,0,6.71,167.266,92.0,0,94.0,5.98,92.0,0.3,1967.833,1348248.0,5.8,6.0,0.773,12.7,45.0
13.0,3,1.29,594.645,98.0,3,98.0,7.26,98.0,0.1,4199.473,1114558.0,6.4,6.3,0.72,14.7,59.3
167.0,32,0.17,192.156,66.0,38,71.0,3.93,69.0,0.1,4521.325,17153357.0,5.4,5.1,0.638,10.3,54.5
168.0,13,6.18,433.921,96.0,15,98.0,3.49,98.0,0.5,3368.953,17153357.0,8.7,8.9,0.686,12.4,23.6
162.0,11,5.92,609.951,98.0,13,99.0,3.92,99.0,0.3,4378.687,6654576.0,8.5,8.6,0.7,12.9,25.7
281.0,25,1.29,45.335,18.0,40,77.0,4.69,76.0,2.1,378.737,776733.0,9.5,9.4,0.395,6.6,18.8
184.0,64,3.07,86.522,79.0,87,84.0,4.69,85.0,0.2,1573.119,17153357.0,16.1,16.7,0.607,11.6,18.1
13.0,36,5.27,881.736,95.0,42,95.0,6.6,95.0,0.1,7748.123,11555228.0,1.7,1.6,0.738,12.5,59.4
294.0,8,6.94,351.86,94.0,9,99.0,4.7,98.0,0.1,3771.279,1514729.0,2.4,2.5,0.737,13.9,46.3
75.0,0,1.59,100.503,98.0,0,98.0,9.22,98.0,0.1,597.166,36.0,14.1,14.2,0.651,11.8,21.2
157.0,8,3.88,187.384,75.0,10,88.0,4.62,88.0,0.3,2183.967,13726.0,1.5,1.4,0.675,12.5,45.1
218.0,0,1.63,43.995,99.0,0,96.0,3.61,95.0,0.1,3332.919,818354.0,4.2,3.9,0.691,13.4,54.2
268.0,3,7.84,7.896,82.0,4,85.0,8.78,82.0,3.2,56.971,2215621.0,9.9,9.9,0.612,11.5,32.5
237.0,1,7.93,16.479,18.0,1,91.0,5.97,45.0,2.1,986.796,751857.0,5.8,5.6,0.611,11.1,37.8
491.0,64,10.42,2.691,29.0,87,57.0,7.78,57.0,3.2,24.242,2571848.0,6.8,6.8,0.404,11.0,13.6
12.0,1,8.65,106.165,94.0,1,88.0,8.17,98.0,0.1,2492.129,482.0,2.7,2.9,0.722,12.5,49.9
119.0,1,6.74,1109.855,18.0,1,45.0,8.3,45.0,0.1,8787.614,393986.0,1.9,1.8,0.78,13.0,57.1
192.0,0,12.4,1109.855,95.0,0,98.0,7.53,98.0,0.1,8787.614,3162916.0,2.8,2.9,0.825,16.6,59.7
148.0,0,3.82,155.207,18.0,0,92.0,5.17,91.0,0.8,1373.516,45216.0,9.2,9.1,0.569,11.3,22.6
391.0,64,2.82,24.038,73.0,87,45.0,3.63,45.0,2.3,711.182,17153357.0,1.5,1.5,0.401,5.5,16.3
354.0,64,0.86,1.507,47.0,87,54.0,4.23,45.0,3.2,135.762,7462445.0,11.5,11.3,0.31,5.4,13.5
263.0,1,0.52,217.213,81.0,2,81.0,8.95,81.0,1.9,1536.157,881185.0,5.6,5.5,0.46,6.3,33.2
235.0,64,0.41,3.422,18.0,87,84.0,2.5,79.0,0.4,143.777,471422.0,13.3,13.7,0.435,7.6,14.6
253.0,14,5.68,4.99,68.0,19,67.0,8.1,68.0,0.5,81.266,1431776.0,3.9,3.9,0.483,9.1,47.7
17.0,1,12.0,1109.855,82.0,1,96.0,9.15,98.0,0.1,8787.614,1419631.0,0.8,0.6,0.788,15.9,51.7
145.0,21,0.25,154.456,81.0,25,86.0,3.49,86.0,0.1,1757.178,3118366.0,6.5,6.4,0.636,10.7,44.4
78.0,1,10.17,347.187,94.0,2,45.0,8.8,45.0,0.1,2169.921,19153.0,0.7,0.7,0.897,18.6,58.2
275.0,42,4.51,85.556,91.0,71,45.0,5.17,91.0,0.9,666.843,168194.0,8.8,8.4,0.377,6.7,17.1
183.0,64,0.01,28.983,65.0,87,65.0,2.56,65.0,0.1,649.848,15783.0,16.1,16.7,0.474,5.6,18.4
79.0,2,7.7,1109.855,18.0,2,88.0,9.37,88.0,0.1,8787.614,31362.0,0.5,0.4,0.872,15.8,59.3
66.0,0,12.32,1109.855,98.0,0,98.0,11.21,98.0,0.1,8787.614,8541575.0,1.8,2.0,0.892,15.9,57.1
187.0,0,6.72,643.704,96.0,0,96.0,4.45,96.0,0.1,7663.138,8122.0,6.2,6.6,0.714,12.2,27.6
71.0,1,2.41,250.934,96.0,1,95.0,7.44,93.0,0.1,2611.179,6931.0,1.1,1.1,0.866,15.8,6.6
8.0,0,12.5,1109.855,85.0,0,85.0,1.4,85.0,0.1,8787.614,8295487.0,1.7,1.9,0.86,15.2,53.7
37.0,11,0.84,12.056,63.0,15,61.0,6.42,72.0,1.5,77.577,631479.0,1.4,1.4,0.446,7.9,41.1
491.0,33,2.25,1.86,81.0,52,83.0,6.11,81.0,3.2,13.154,12383446.0,7.0,6.9,0.479,10.9,18.8
147.0,32,0.01,429.663,61.0,39,45.0,5.26,69.0,0.1,6651.122,17153357.0,5.3,5.1,0.656,10.5,57.2
187.0,64,3.11,67.672,18.0,87,82.0,4.53,83.0,0.2,1452.195,17153357.0,16.1,16.7,0.599,11.5,17.5
194.0,10,0.37,19.837,81.0,12,79.0,5.89,84.0,0.3,337.359,6854176.0,3.8,3.9,0.572,10.6,33.5
296.0,59,0.3,9.53,85.0,87,85.0,1.87,85.0,0.6,643.951,17153357.0,13.2,13.4,0.493,8.2,18.3
99.0,0,13.45,276.1,94.0,1,95.0,9.84,95.0,0.1,1845.588,1483861.0,0.7,0.6,0.792,15.9,53.3
163.0,17,4.45,393.877,78.0,20,83.0,5.67,81.0,0.1,2355.726,17153357.0,2.5,2.3,0.656,11.5,48.2
491.0,38,1.18,6.847,99.0,61,99.0,8.99,99.0,3.2,297.697,13429262.0,7.3,7.1,0.377,9.6,16.2
131.0,0,0.01,698.352,18.0,0,62.0,6.91,67.0,0.1,4219.651,19757.0,0.2,0.1,0.7,12.9,73.8
151.0,8,0.51,4.104,18.0,10,77.0,4.48,77.0,0.1,73.684,81112.0,3.1,3.1,0.642,10.4,42.6
219.0,4,2.88,332.106,75.0,4,94.0,8.2,92.0,0.4,2338.772,595962.0,2.1,2.0,0.615,11.6,46.2
151.0,8,3.69,18.262,82.0,10,97.0,6.46,87.0,0.3,244.469,1328961.0,1.5,1.4,0.679,12.6,45.8
349.0,29,2.59,196.915,78.0,43,45.0,4.91,78.0,3.2,1734.936,14699937.0,6.5,6.3,0.554,12.3,21.7
235.0,30,0.87,59.979,18.0,42,71.0,3.46,45.0,0.4,443.961,17153357.0,7.4,7.3,0.506,10.2,19.0
126.0,52,4.86,13.311,97.0,62,97.0,5.35,97.0,0.1,731.379,136768.0,1.9,1.9,0.7,11.6,53.2
8.0,0,5.59,134.355,89.0,0,94.0,6.83,94.0,0.1,1139.565,3987.0,0.8,0.7,0.779,13.8,62.3
147.0,3,0.01,561.768,87.0,3,83.0,9.81,87.0,0.2,4712.823,6552584.0,2.0,1.9,0.688,12.3,49.4
252.0,1,0.38,24.733,78.0,1,78.0,1.57,78.0,2.1,174.915,912164.0,5.6,5.4,0.467,6.3,34.4
154.0,6,5.92,1088.245,89.0,7,45.0,4.38,91.0,0.3,6268.692,145844.0,3.3,3.2,0.712,13.2,57.9
316.0,12,4.19,22.396,64.0,16,66.0,8.4,45.0,3.1,168.648,326123.0,8.3,8.3,0.372,10.1,22.0
257.0,6,4.49,7.884,18.0,8,99.0,5.59,99.0,0.7,635.79,17153357.0,3.0,3.1,0.669,13.3,54.8
68.0,0,11.02,1109.855,94.0,0,99.0,7.1,99.0,0.1,8787.614,54336.0,0.9,0.9,0.892,13.9,6.5
195.0,0,0.01,431.485,99.0,0,99.0,4.16,99.0,0.1,4546.739,873596.0,4.0,3.7,0.714,14.9,6.2
71.0,0,6.7,1109.855,89.0,0,94.0,8.6,94.0,0.1,8787.614,398582.0,0.7,0.7,0.79,13.8,63.9
241.0,64,1.84,86.826,69.0,87,45.0,5.77,69.0,1.2,468.567,17153357.0,1.7,1.5,0.422,8.4,16.4
464.0,28,6.0,63.751,94.0,42,93.0,6.31,93.0,3.2,839.928,14386649.0,6.8,6.7,0.452,10.1,29.9
194.0,13,0.86,1.142,39.0,16,84.0,4.59,85.0,0.3,17.816,6327125.0,4.1,4.1,0.535,9.7,31.6
221.0,0,2.05,31.258,98.0,0,91.0,3.87,45.0,0.1,276.134,811223.0,4.3,4.0,0.681,13.1,5.2
295.0,20,6.78,7.41,97.0,30,98.0,8.49,97.0,3.2,44.853,944742.0,6.8,6.7,0.424,10.1,16.5
112.0,19,1.54,20.751,97.0,22,97.0,5.24,97.0,0.1,1172.384,17153357.0,4.9,4.7,0.75,14.3,63.7
227.0,0,0.7,325.111,83.0,0,88.0,6.44,84.0,0.1,944.817,423853.0,1.4,1.4,0.442,6.6,38.7
14.0,19,0.54,22.095,98.0,22,98.0,5.99,99.0,0.1,339.916,17153357.0,6.3,6.2,0.612,11.2,54.6
198.0,4,8.44,52.425,46.0,5,72.0,7.67,76.0,0.2,429.716,454896.0,2.3,2.4,0.744,15.2,6.1
92.0,64,5.75,5.661,99.0,87,99.0,4.89,99.0,0.1,456.512,133775.0,4.2,3.6,0.691,12.5,28.1
136.0,0,0.01,492.055,64.0,0,62.0,5.2,64.0,0.1,4234.554,189194.0,0.2,0.1,0.698,12.9,73.4
179.0,0,6.02,1109.855,86.0,0,86.0,5.96,86.0,0.4,8787.614,54254.0,3.5,3.5,0.719,12.7,57.0
12.0,3,1.39,604.87,98.0,3,98.0,7.0,98.0,0.1,4271.682,1114398.0,6.5,6.4,0.722,14.7,6.2
19.0,13,2.21,472.223,95.0,15,96.0,6.65,95.0,0.4,2794.222,146366.0,1.3,1.3,0.589,10.4,45.9
275.0,53,0.01,36.861,69.0,86,45.0,6.58,69.0,1.6,777.659,16477818.0,8.1,7.9,0.421,8.0,22.5
144.0,0,4.16,209.086,66.0,0,93.0,5.0,92.0,0.9,1768.921,46147.0,8.9,8.9,0.572,11.3,23.2
12.0,0,4.14,39.865,36.0,0,87.0,7.94,87.0,0.1,2214.732,3779247.0,3.0,3.0,0.27,12.1,49.4
214.0,0,4.55,4.233,83.0,0,84.0,6.88,85.0,0.9,36.488,49363.0,3.5,3.5,0.27,11.1,5.4
122.0,1,5.66,882.356,94.0,1,95.0,11.59,94.0,0.1,4117.389,332496.0,1.7,1.6,0.75,15.5,57.7
247.0,14,8.34,9.075,97.0,20,93.0,7.71,97.0,1.3,617.318,151671.0,6.3,6.2,0.464,10.2,18.9
141.0,0,0.85,457.973,63.0,0,65.0,3.85,65.0,0.1,3275.917,241871.0,1.5,1.4,0.591,10.8,49.9
437.0,64,1.49,35.852,73.0,87,75.0,4.45,73.0,3.2,436.688,3413852.0,8.8,8.8,0.45,8.2,15.5
232.0,0,14.09,846.911,98.0,1,98.0,4.92,98.0,0.1,6519.718,9473172.0,2.0,2.1,0.787,15.5,59.9
337.0,3,7.28,827.598,18.0,4,52.0,2.13,45.0,3.2,8787.614,792217.0,9.7,9.6,0.569,9.0,2.5
191.0,0,0.01,225.731,95.0,0,95.0,8.35,95.0,0.2,1821.879,191266.0,5.6,5.4,0.562,11.1,3.1
35.0,5,2.47,24.658,18.0,8,61.0,5.84,57.0,3.2,321.481,1293523.0,9.8,9.7,0.27,7.1,18.5
282.0,4,0.01,50.061,87.0,6,87.0,5.59,87.0,3.2,642.626,1725744.0,7.3,7.1,0.419,9.2,25.6
212.0,8,0.01,79.277,75.0,12,73.0,2.87,75.0,1.2,1393.262,3717672.0,8.5,8.3,0.487,7.7,28.1
99.0,3,13.49,1109.855,28.0,4,96.0,1.43,97.0,0.1,8787.614,17153357.0,0.6,0.6,0.852,15.4,56.4
57.0,0,8.58,374.295,94.0,0,99.0,9.89,99.0,0.1,2393.189,423374.0,0.8,0.7,0.828,14.2,68.8
147.0,3,3.39,321.613,98.0,3,99.0,6.39,98.0,0.1,1682.958,58782.0,1.8,1.8,0.62,11.5,5.9
28.0,33,0.2,4.26,41.0,44,78.0,5.72,75.0,0.2,317.892,2564287.0,16.1,16.7,0.469,9.4,13.9
68.0,1,2.33,4.345,99.0,1,95.0,7.37,95.0,0.1,258.637,7181.0,1.1,1.1,0.872,15.7,61.6
33.0,22,0.01,40.151,96.0,32,96.0,8.3,96.0,1.0,282.756,96186.0,7.4,7.4,0.398,10.5,17.6
177.0,0,9.72,1109.855,99.0,0,99.0,3.38,99.0,0.1,8787.614,87441.0,5.7,6.1,0.744,13.3,34.2
124.0,1,5.86,27.469,95.0,1,93.0,7.18,95.0,0.1,488.769,3327773.0,1.7,1.7,0.746,14.7,56.3
196.0,20,0.26,11.839,92.0,28,89.0,4.51,92.0,0.3,148.912,141232.0,9.9,9.7,0.474,8.7,23.2
164.0,10,0.01,71.509,94.0,12,96.0,6.39,94.0,0.2,954.725,799562.0,3.6,3.7,0.613,11.1,38.2
127.0,1,9.56,915.319,94.0,1,94.0,9.72,94.0,0.1,6423.292,723499.0,2.2,2.2,0.757,13.5,57.7
224.0,0,5.78,9.013,18.0,0,99.0,9.94,96.0,1.6,693.346,151969.0,7.2,7.2,0.509,9.8,22.8
274.0,2,2.79,56.431,93.0,3,94.0,4.92,94.0,0.1,474.213,2397436.0,2.6,2.6,0.582,8.9,38.5
297.0,29,0.18,24.848,57.0,46,45.0,3.85,57.0,2.3,436.69,1556524.0,8.4,8.4,0.376,8.1,2.3
121.0,2,5.58,9.871,98.0,2,99.0,7.76,98.0,0.2,46.299,33347.0,2.4,2.3,0.716,12.1,45.9
219.0,59,4.42,159.535,85.0,76,86.0,4.41,87.0,0.1,1825.342,9222879.0,1.0,9.7,0.661,11.7,22.1
221.0,0,12.12,170.988,91.0,0,94.0,7.1,94.0,0.1,1444.159,22325.0,2.4,2.4,0.814,16.2,57.7
31.0,42,1.6,3.336,18.0,63,45.0,3.7,78.0,3.2,39.484,17153357.0,8.8,8.8,0.484,7.6,2.7
65.0,1,9.23,96.859,18.0,1,97.0,1.29,97.0,0.1,519.349,1653388.0,1.0,0.9,0.906,16.9,58.6
113.0,0,6.56,666.737,91.0,0,95.0,6.92,95.0,0.1,7318.742,6279.0,1.9,2.0,0.792,15.1,59.7
286.0,10,0.79,19.0,56.0,14,72.0,4.18,67.0,1.1,1366.879,718239.0,1.4,1.3,0.485,9.6,44.9
14.0,0,0.96,7.034,82.0,0,84.0,4.6,82.0,0.1,445.189,14577.0,0.1,0.1,0.712,14.4,73.3
323.0,2,0.95,92.498,25.0,2,49.0,5.37,53.0,3.2,781.232,732711.0,6.3,6.1,0.363,4.4,28.6
47.0,64,9.76,57.226,18.0,87,45.0,4.33,45.0,3.2,648.816,17153357.0,13.2,13.2,0.445,8.5,18.8
288.0,45,4.5,107.799,93.0,80,92.0,6.77,93.0,1.5,569.761,14689726.0,9.5,9.1,0.345,5.4,15.6
13.0,3,1.3,585.878,97.0,3,97.0,7.18,97.0,0.1,4137.554,1886668.0,6.4,6.3,0.717,14.6,58.3
439.0,16,0.01,7.345,47.0,23,47.0,3.62,47.0,3.2,486.411,449416.0,8.7,8.6,0.366,7.1,21.2
219.0,64,4.73,11.697,18.0,87,74.0,3.21,78.0,0.1,138.92,17153357.0,1.0,9.6,0.618,11.4,17.8
436.0,2,6.21,512.589,93.0,3,96.0,4.71,96.0,3.2,5714.479,1914414.0,9.2,9.0,0.63,12.1,33.7
311.0,6,0.63,1.575,92.0,9,92.0,3.3,92.0,1.0,43.754,431334.0,9.0,8.9,0.402,5.2,15.5
124.0,26,1.26,115.58,96.0,31,96.0,6.4,96.0,0.1,979.492,17153357.0,5.0,4.8,0.697,12.3,59.3
179.0,64,0.09,200.068,78.0,87,45.0,2.85,78.0,0.3,3491.596,17153357.0,1.4,1.2,0.682,12.9,26.5
245.0,1,0.29,169.202,95.0,1,96.0,5.27,95.0,0.3,1335.457,672228.0,16.1,16.7,0.27,9.6,17.4
49.0,64,9.61,17.138,18.0,87,45.0,2.43,45.0,3.2,459.457,12866671.0,13.8,13.8,0.27,7.7,17.8
215.0,0,4.36,62.857,99.0,0,99.0,5.66,99.0,0.9,1126.462,166913.0,6.5,6.4,0.531,10.4,25.4
48.0,64,1.85,15.881,73.0,87,45.0,2.79,45.0,2.0,555.297,1644924.0,1.9,1.9,0.382,4.6,15.4
123.0,1,9.09,8.617,92.0,1,93.0,1.37,93.0,0.1,62.173,713576.0,2.1,2.1,0.771,14.3,59.4
236.0,23,0.34,10.43,89.0,38,89.0,5.44,89.0,0.7,89.838,11556763.0,11.2,11.1,0.422,6.6,19.9
491.0,17,1.5,60.049,42.0,26,46.0,4.4,48.0,3.2,397.148,42758.0,9.4,9.4,0.33,6.2,19.0
133.0,1,6.95,292.614,89.0,1,95.0,8.9,95.0,0.1,2149.994,7496522.0,2.7,2.8,0.715,13.2,52.2
197.0,4,3.5,2.092,85.0,5,85.0,5.71,85.0,0.4,11.147,5171734.0,2.2,2.1,0.577,10.7,44.2
347.0,42,7.38,922.051,18.0,52,77.0,8.8,77.0,3.2,6479.626,17153357.0,4.9,5.9,0.66,13.0,5.3
174.0,0,0.01,177.263,99.0,0,98.0,4.8,98.0,0.1,8787.614,8833.0,5.7,6.1,0.755,13.5,34.8
491.0,27,4.36,0.0,68.0,42,67.0,7.13,65.0,3.2,454.367,12777511.0,9.4,9.4,0.407,9.2,27.1
218.0,1,7.32,493.328,93.0,1,93.0,7.46,93.0,0.8,2576.125,746314.0,5.6,5.4,0.618,10.7,4.9
64.0,0,6.5,1109.855,42.0,0,98.0,8.95,98.0,0.1,8787.614,9855.0,1.3,1.3,0.892,15.9,55.7
486.0,51,8.48,805.49,83.0,79,79.0,7.53,82.0,3.2,6125.4,17153357.0,9.7,11.7,0.612,12.9,45.0
125.0,5,1.98,263.143,84.0,6,91.0,5.1,87.0,0.1,7189.691,917382.0,2.8,2.9,0.741,11.7,48.8
11.0,20,0.56,183.659,98.0,23,99.0,5.86,99.0,0.1,2834.247,3249639.0,6.3,6.2,0.603,10.7,53.6
38.0,41,1.53,31.094,18.0,63,45.0,3.12,45.0,3.2,373.282,2446782.0,8.6,8.5,0.489,7.9,21.2
