Country,Year,Status,Life_Expectancy,Adult_Mortality,Infant_Deaths,Alcohol,Percentage_Exp,HepatitisB,BMI,Under_Five_Deaths,Polio,Tot_Exp,Diphtheria,HIV/AIDS,GDP,Population,thinness_1to19_years,thinness_5to9_years,Income_Comp_Of_Resources,Schooling,winsorized_Life_Expectancy,winsorized_Adult_Mortality,winsorized_Infant_Deaths,winsorized_Alcohol,winsorized_Percentage_Exp,winsorized_HepatitisB,winsorized_Under_Five_Deaths,winsorized_Polio,winsorized_Tot_Exp,winsorized_Diphtheria,winsorized_HIV,winsorized_GDP,winsorized_Population,winsorized_thinness_1to19_years,winsorized_thinness_5to9_years,winsorized_Income_Comp_Of_Resources,winsorized_Schooling,Economic_health_index,Health_expenditure_ratio,Mortality_rate_ratio
Afghanistan,2001,Developing,55.3,316.0,88,0.01,10.575,63.0,12.6,122,35.0,7.8,33.0,0.1,117.497,2966463.0,2.1,2.4,0.34,5.9,55.3,316.0,64,0.01,10.575,63.0,87,45.0,7.8,45.0,0.1,117.497,2966463.0,2.1,2.4,0.34,5.9,2.006,0.066,3.632
Afghanistan,2000,Developing,54.8,321.0,88,0.01,10.425,62.0,12.2,122,24.0,8.2,24.0,0.1,114.56,293756.0,2.3,2.5,0.338,5.5,54.8,321.0,64,0.01,10.425,62.0,87,45.0,8.2,45.0,0.1,114.56,293756.0,2.3,2.5,0.338,5.5,1.859,0.072,3.69
Albania,2015,Developing,77.8,74.0,0,4.6,364.975,99.0,58.0,0,99.0,6.0,99.0,0.1,3954.228,28873.0,1.2,1.3,0.762,14.2,77.8,74.0,0,4.6,364.975,99.0,0,99.0,6.0,99.0,0.1,3954.228,28873.0,1.2,1.3,0.762,14.2,10.82,0.002,
Albania,2014,Developing,77.5,8.0,0,4.51,428.749,98.0,57.2,1,98.0,5.88,98.0,0.1,4575.764,288914.0,1.2,1.3,0.761,14.2,77.5,8.0,0,4.51,428.749,98.0,1,98.0,5.88,98.0,0.1,4575.764,288914.0,1.2,1.3,0.761,14.2,10.806,0.001,8.0
Albania,2013,Developing,77.2,84.0,0,4.76,430.877,99.0,56.5,1,99.0,5.66,99.0,0.1,4414.723,289592.0,1.3,1.4,0.759,14.2,77.2,84.0,0,4.76,430.877,99.0,1,99.0,5.66,99.0,0.1,4414.723,289592.0,1.3,1.4,0.759,14.2,10.778,0.001,84.0
Albania,2012,Developing,76.9,86.0,0,5.14,412.443,99.0,55.8,1,99.0,5.59,99.0,0.1,4247.614,2941.0,1.3,1.4,0.752,14.2,76.9,86.0,0,5.14,412.443,99.0,1,99.0,5.59,99.0,0.1,4247.614,2941.0,1.3,1.4,0.752,14.2,10.678,0.001,86.0
Albania,2011,Developing,76.6,88.0,0,5.37,437.062,99.0,55.1,1,99.0,5.71,99.0,0.1,4437.179,295195.0,1.4,1.5,0.738,13.3,76.6,88.0,0,5.37,437.062,99.0,1,99.0,5.71,99.0,0.1,4437.179,295195.0,1.4,1.5,0.738,13.3,9.815,0.001,88.0
Albania,2010,Developing,76.2,91.0,1,5.28,41.823,99.0,54.3,1,99.0,5.34,99.0,0.1,494.359,291321.0,1.4,1.5,0.725,12.5,76.2,91.0,1,5.28,41.823,99.0,1,99.0,5.34,99.0,0.1,494.359,291321.0,1.4,1.5,0.725,12.5,9.062,0.011,91.0
Albania,2009,Developing,76.1,91.0,1,5.79,348.056,98.0,53.5,1,98.0,5.79,98.0,0.1,4114.137,2927519.0,1.5,1.6,0.721,12.2,76.1,91.0,1,5.79,348.056,98.0,1,98.0,5.79,98.0,0.1,4114.137,2927519.0,1.5,1.6,0.721,12.2,8.796,0.001,91.0
Albania,2007,Developing,75.9,9.0,1,5.58,32.247,98.0,51.7,1,99.0,6.1,98.0,0.1,363.137,29717.0,1.6,1.7,0.703,11.6,75.9,9.0,1,5.58,32.247,98.0,1,99.0,6.1,98.0,0.1,363.137,29717.0,1.6,1.7,0.703,11.6,8.155,0.017,9.0
Albania,2006,Developing,74.2,99.0,1,5.31,3.302,98.0,5.8,1,97.0,5.86,97.0,0.1,35.129,2992547.0,1.7,1.8,0.696,11.4,74.2,99.0,1,5.31,3.302,98.0,1,97.0,5.86,97.0,0.1,35.129,2992547.0,1.7,1.8,0.696,11.4,7.934,0.167,99.0
Albania,2005,Developing,73.5,15.0,1,5.16,26.993,98.0,49.9,1,97.0,6.12,98.0,0.1,279.143,311487.0,1.8,1.8,0.685,10.8,73.5,15.0,1,5.16,26.993,98.0,1,97.0,6.12,98.0,0.1,279.143,311487.0,1.8,1.8,0.685,10.8,7.398,0.022,15.0
Albania,2004,Developing,73.0,17.0,1,4.54,221.843,99.0,48.9,1,98.0,6.38,97.0,0.1,2416.588,326939.0,1.8,1.9,0.681,10.9,73.0,17.0,1,4.54,221.843,99.0,1,98.0,6.38,97.0,0.1,2416.588,326939.0,1.8,1.9,0.681,10.9,7.423,0.003,17.0
Albania,2003,Developing,72.8,18.0,1,4.29,14.719,97.0,47.9,1,97.0,6.27,97.0,0.1,189.682,339616.0,1.9,2.0,0.674,10.7,72.8,18.0,1,4.29,14.719,97.0,1,97.0,6.27,97.0,0.1,189.682,339616.0,1.9,2.0,0.674,10.7,7.212,0.033,18.0
Albania,2002,Developing,73.3,15.0,1,3.73,104.517,96.0,46.9,1,98.0,6.3,98.0,0.1,1453.643,3511.0,2.0,2.1,0.67,10.7,73.3,15.0,1,3.73,104.517,96.0,1,98.0,6.3,98.0,0.1,1453.643,3511.0,2.0,2.1,0.67,10.7,7.169,0.004,15.0
Albania,2001,Developing,73.6,14.0,1,4.25,96.206,96.0,46.0,1,97.0,6.0,97.0,0.1,1326.973,36173.0,2.1,2.1,0.662,10.6,73.6,14.0,1,4.25,96.206,96.0,1,97.0,6.0,97.0,0.1,1326.973,36173.0,2.1,2.1,0.662,10.6,7.017,0.005,14.0
Albania,2000,Developing,72.6,11.0,1,3.66,91.712,96.0,45.0,1,97.0,6.26,97.0,0.1,1175.789,38927.0,2.1,2.2,0.656,10.7,72.6,11.0,1,3.66,91.712,96.0,1,97.0,6.26,97.0,0.1,1175.789,38927.0,2.1,2.2,0.656,10.7,7.019,0.005,11.0
Algeria,2014,Developing,75.4,11.0,21,0.01,54.237,95.0,58.4,24,95.0,7.21,95.0,0.1,547.852,39113313.0,6.0,5.8,0.741,14.4,75.4,11.0,21,0.01,54.237,95.0,24,95.0,7.21,95.0,0.1,547.852,17153357.0,6.0,5.8,0.741,14.4,10.67,0.013,0.458
Algeria,2013,Developing,75.3,112.0,21,0.53,544.451,95.0,57.2,24,95.0,7.12,95.0,0.1,5471.867,38338562.0,5.9,5.8,0.737,14.4,75.3,112.0,21,0.53,544.451,95.0,24,95.0,7.12,95.0,0.1,5471.867,17153357.0,5.9,5.8,0.737,14.4,10.613,0.001,4.667
Algeria,2012,Developing,75.1,113.0,21,0.66,555.926,95.0,56.1,24,95.0,6.14,95.0,0.1,5564.826,37565847.0,5.9,5.8,0.732,14.4,75.1,113.0,21,0.66,555.926,95.0,24,95.0,6.14,95.0,0.1,5564.826,17153357.0,5.9,5.8,0.732,14.4,10.541,0.001,4.708
Algeria,2011,Developing,74.9,116.0,21,0.56,509.002,95.0,55.0,24,95.0,5.29,95.0,0.1,5432.252,36819558.0,5.9,5.8,0.724,14.0,74.9,116.0,21,0.56,509.002,95.0,24,95.0,5.29,95.0,0.1,5432.252,17153357.0,5.9,5.8,0.724,14.0,10.136,0.001,4.833
Algeria,2010,Developing,74.7,119.0,21,0.45,430.718,95.0,53.9,24,95.0,5.12,95.0,0.1,4463.395,36117637.0,5.9,5.8,0.714,13.6,74.7,119.0,21,0.45,430.718,95.0,24,95.0,5.12,95.0,0.1,4463.395,17153357.0,5.9,5.8,0.714,13.6,9.71,0.001,4.958
Algeria,2009,Developing,74.4,123.0,20,0.5,352.064,94.0,52.8,23,94.0,5.36,95.0,0.1,3868.831,3546576.0,6.0,5.9,0.705,13.1,74.4,123.0,20,0.5,352.064,94.0,23,94.0,5.36,95.0,0.1,3868.831,3546576.0,6.0,5.9,0.705,13.1,9.236,0.001,5.348
Algeria,2008,Developing,74.1,126.0,20,0.46,43.087,91.0,51.8,23,92.0,4.2,93.0,0.1,495.255,3486715.0,6.0,5.9,0.697,12.6,74.1,126.0,20,0.46,43.087,91.0,23,92.0,4.2,93.0,0.1,495.255,3486715.0,6.0,5.9,0.697,12.6,8.782,0.008,5.478
Algeria,2007,Developing,73.8,129.0,20,0.44,320.324,9.0,5.8,23,95.0,3.82,95.0,0.1,3935.183,34376.0,6.0,5.9,0.69,12.3,73.8,129.0,20,0.44,320.324,18.0,23,95.0,3.82,95.0,0.1,3935.183,34376.0,6.0,5.9,0.69,12.3,8.487,0.001,5.609
Algeria,2006,Developing,73.4,132.0,20,0.36,270.24,8.0,49.8,23,95.0,3.36,95.0,0.1,3464.618,33777915.0,6.1,6.0,0.686,12.3,73.4,132.0,20,0.36,270.24,18.0,23,95.0,3.36,95.0,0.1,3464.618,17153357.0,6.1,6.0,0.686,12.3,8.438,0.001,5.739
Algeria,2004,Developing,72.3,14.0,19,0.45,220.394,81.0,47.9,23,86.0,3.54,86.0,0.1,2598.982,3283196.0,6.2,6.1,0.673,11.7,72.3,14.0,19,0.45,220.394,81.0,23,86.0,3.54,86.0,0.1,2598.982,3283196.0,6.2,6.1,0.673,11.7,7.874,0.001,0.609
Algeria,2003,Developing,71.7,146.0,20,0.34,25.019,81.0,47.0,23,87.0,3.6,87.0,0.1,294.336,3243514.0,6.3,6.1,0.663,11.5,71.7,146.0,20,0.34,25.019,81.0,23,87.0,3.6,87.0,0.1,294.336,3243514.0,6.3,6.1,0.663,11.5,7.624,0.012,6.348
Algeria,2002,Developing,71.6,145.0,20,0.36,148.512,81.0,46.1,23,86.0,3.73,86.0,0.1,1774.337,3199546.0,6.3,6.2,0.653,11.1,71.6,145.0,20,0.36,148.512,81.0,23,86.0,3.73,86.0,0.1,1774.337,3199546.0,6.3,6.2,0.653,11.1,7.248,0.002,6.304
Algeria,2001,Developing,71.4,145.0,20,0.23,147.986,81.0,45.3,24,89.0,3.84,89.0,0.1,1732.858,31592153.0,6.4,6.3,0.644,10.9,71.4,145.0,20,0.23,147.986,81.0,24,89.0,3.84,89.0,0.1,1732.858,17153357.0,6.4,6.3,0.644,10.9,7.02,0.002,6.042
Algeria,2000,Developing,71.3,145.0,21,0.25,154.456,81.0,44.4,25,86.0,3.49,86.0,0.1,1757.178,3118366.0,6.5,6.4,0.636,10.7,71.3,145.0,21,0.25,154.456,81.0,25,86.0,3.49,86.0,0.1,1757.178,3118366.0,6.5,6.4,0.636,10.7,6.805,0.002,5.8
Angola,2014,Developing,51.7,348.0,67,8.33,23.966,64.0,22.7,101,68.0,3.31,64.0,2.0,479.312,2692466.0,8.5,8.3,0.527,11.4,51.7,348.0,64,8.33,23.966,64.0,87,68.0,3.31,64.0,2.0,479.312,2692466.0,8.5,8.3,0.527,11.4,6.008,0.007,4.0
Angola,2013,Developing,51.1,355.0,69,8.1,35.959,77.0,22.1,105,67.0,4.26,77.0,2.3,484.617,2599834.0,8.6,8.5,0.523,11.4,51.1,355.0,64,8.1,35.959,77.0,87,67.0,4.26,77.0,2.3,484.617,2599834.0,8.6,8.5,0.523,11.4,5.962,0.009,4.08
Angola,2012,Developing,56.0,358.0,72,8.24,256.123,75.0,21.5,110,75.0,3.3,75.0,2.6,4598.25,259615.0,8.8,8.6,0.508,10.3,56.0,358.0,64,8.24,256.123,75.0,87,75.0,3.3,75.0,2.6,4598.25,259615.0,8.8,8.6,0.508,10.3,5.232,0.001,4.115
Angola,2011,Developing,51.0,361.0,75,8.06,239.891,72.0,21.0,115,73.0,3.38,71.0,2.5,4299.129,24218565.0,8.9,8.8,0.495,9.4,51.0,361.0,64,8.06,239.891,72.0,87,73.0,3.38,71.0,2.5,4299.129,17153357.0,8.9,8.8,0.495,9.4,4.653,0.001,4.149
Angola,2010,Developing,49.6,365.0,78,7.8,191.654,77.0,2.4,121,81.0,3.39,77.0,2.5,3529.535,23369131.0,9.1,9.0,0.488,9.0,49.6,365.0,64,7.8,191.654,77.0,87,81.0,3.39,77.0,2.5,3529.535,17153357.0,9.1,9.0,0.488,9.0,4.392,0.001,4.195
Angola,2009,Developing,49.1,369.0,81,7.01,212.923,61.0,19.8,127,63.0,4.37,6.0,2.5,3347.845,22549547.0,9.3,9.2,0.48,8.5,49.1,369.0,64,7.01,212.923,61.0,87,63.0,4.37,45.0,2.5,3347.845,17153357.0,9.3,9.2,0.48,8.5,4.08,0.001,4.241
Angola,2008,Developing,48.7,371.0,84,7.07,249.91,69.0,19.3,133,65.0,3.84,69.0,2.6,3868.579,2175942.0,9.5,9.4,0.468,8.1,48.7,371.0,64,7.07,249.91,69.0,87,65.0,3.84,69.0,2.6,3868.579,2175942.0,9.5,9.4,0.468,8.1,3.791,0.001,4.264
Angola,2007,Developing,48.2,375.0,87,6.35,184.821,73.0,18.8,138,75.0,3.38,73.0,2.6,2878.837,2997687.0,9.6,9.6,0.454,7.7,48.2,375.0,64,6.35,184.821,73.0,87,75.0,3.38,73.0,2.6,2878.837,2997687.0,9.6,9.6,0.454,7.7,3.496,0.001,4.31
Angola,2006,Developing,47.7,381.0,90,5.84,25.087,73.0,18.2,143,36.0,4.54,34.0,2.5,262.415,2262399.0,9.8,9.7,0.439,7.2,47.7,381.0,64,5.84,25.087,73.0,87,45.0,4.54,45.0,2.5,262.415,2262399.0,9.8,9.7,0.439,7.2,3.161,0.017,4.379
Angola,2005,Developing,47.4,382.0,92,5.04,98.191,73.0,17.7,148,39.0,4.1,38.0,2.6,1443.992,19552542.0,1.0,9.9,0.426,6.8,47.4,382.0,64,5.04,98.191,73.0,87,45.0,4.1,45.0,2.6,1443.992,17153357.0,1.0,9.9,0.426,6.8,2.897,0.003,4.391
Angola,2004,Developing,47.1,386.0,94,3.53,8.867,73.0,17.2,152,4.0,4.71,4.0,2.5,141.868,18865716.0,1.2,1.1,0.415,6.4,47.1,386.0,64,3.53,8.867,73.0,87,45.0,4.71,45.0,2.5,141.868,17153357.0,1.2,1.1,0.415,6.4,2.656,0.033,4.437
Angola,2003,Developing,46.8,388.0,95,3.49,35.933,73.0,16.8,155,4.0,4.41,4.0,2.4,779.468,1823369.0,1.4,1.3,0.406,5.9,46.8,388.0,64,3.49,35.933,73.0,87,45.0,4.41,45.0,2.4,779.468,1823369.0,1.4,1.3,0.406,5.9,2.395,0.006,4.46
Angola,2002,Developing,46.5,391.0,96,2.82,24.038,73.0,16.3,157,37.0,3.63,41.0,2.3,711.182,17572649.0,1.5,1.5,0.401,5.5,46.5,391.0,64,2.82,24.038,73.0,87,45.0,3.63,45.0,2.3,711.182,17153357.0,1.5,1.5,0.401,5.5,2.206,0.005,4.494
Angola,2001,Developing,45.7,44.0,97,2.58,30.36,73.0,15.8,159,41.0,5.38,38.0,2.1,526.169,16983266.0,1.7,1.7,0.391,5.1,45.7,44.0,64,2.58,30.36,73.0,87,45.0,5.38,45.0,2.1,526.169,16983266.0,1.7,1.7,0.391,5.1,1.994,0.01,0.506
Angola,2000,Developing,45.3,48.0,97,1.85,15.881,73.0,15.4,160,3.0,2.79,28.0,2.0,555.297,1644924.0,1.9,1.9,0.382,4.6,45.3,48.0,64,1.85,15.881,73.0,87,45.0,2.79,45.0,2.0,555.297,1644924.0,1.9,1.9,0.382,4.6,1.757,0.005,0.552
Argentina,2014,Developing,76.2,118.0,8,7.93,847.372,94.0,62.2,9,92.0,4.79,94.0,0.1,12245.256,42981515.0,1.0,0.9,0.825,17.3,76.2,118.0,8,7.93,847.372,94.0,9,92.0,4.79,94.0,0.1,8787.614,17153357.0,1.0,0.9,0.825,17.3,14.272,0.0,13.111
Argentina,2012,Developing,75.9,12.0,9,8.35,1133.558,91.0,61.0,10,99.0,5.2,91.0,0.1,12969.771,4296739.0,1.0,0.9,0.822,17.2,75.9,12.0,9,8.35,1109.855,91.0,10,99.0,5.2,91.0,0.1,8787.614,4296739.0,1.0,0.9,0.822,17.2,14.138,0.0,1.2
Argentina,2011,Developing,75.7,12.0,9,8.11,1504.329,91.0,6.4,10,93.0,5.89,91.0,0.1,12726.984,41656879.0,1.0,0.9,0.816,17.1,75.7,12.0,9,8.11,1109.855,91.0,10,93.0,5.89,91.0,0.1,8787.614,17153357.0,1.0,0.9,0.816,17.1,13.954,0.0,1.2
Argentina,2010,Developing,75.5,121.0,10,8.15,187.611,94.0,59.8,11,95.0,6.55,94.0,0.1,1276.265,41223889.0,1.0,0.9,0.802,16.8,75.5,121.0,10,8.15,187.611,94.0,11,95.0,6.55,94.0,0.1,1276.265,17153357.0,1.0,0.9,0.802,16.8,13.474,0.005,11.0
Argentina,2009,Developing,75.6,126.0,10,8.33,1398.043,94.0,59.2,11,97.0,7.63,94.0,0.1,8161.37,479947.0,1.0,0.9,0.794,16.5,75.6,126.0,10,8.33,1109.855,94.0,11,97.0,7.63,94.0,0.1,8161.37,479947.0,1.0,0.9,0.794,16.5,13.101,0.001,11.455
Argentina,2008,Developing,75.4,126.0,10,8.41,1413.735,9.0,58.6,11,94.0,6.66,93.0,0.1,8953.359,4382389.0,1.0,0.9,0.792,16.3,75.4,126.0,10,8.41,1109.855,18.0,11,94.0,6.66,93.0,0.1,8787.614,4382389.0,1.0,0.9,0.792,16.3,12.91,0.001,11.455
Argentina,2007,Developing,74.8,129.0,10,8.16,1105.659,85.0,58.0,12,92.0,6.49,91.0,0.1,7193.618,3997224.0,1.1,0.9,0.788,16.3,74.8,129.0,10,8.16,1105.659,85.0,12,92.0,6.49,91.0,0.1,7193.618,3997224.0,1.1,0.9,0.788,16.3,12.844,0.001,10.75
Argentina,2006,Developing,75.2,127.0,11,7.75,961.177,84.0,57.5,12,92.0,6.68,91.0,0.1,5878.761,3955889.0,1.1,0.9,0.782,16.1,75.2,127.0,11,7.75,961.177,84.0,12,92.0,6.68,91.0,0.1,5878.761,3955889.0,1.1,0.9,0.782,16.1,12.59,0.001,10.583
Argentina,2005,Developing,74.9,127.0,11,7.53,96.167,88.0,56.9,12,95.0,6.85,98.0,0.1,576.884,39145488.0,1.1,1.0,0.78,16.3,74.9,127.0,11,7.53,96.167,88.0,12,95.0,6.85,98.0,0.1,576.884,17153357.0,1.1,1.0,0.78,16.3,12.714,0.012,10.583
Argentina,2004,Developing,74.7,13.0,11,7.63,719.366,81.0,56.3,12,91.0,6.84,98.0,0.1,4251.574,38728696.0,1.1,1.0,0.775,16.3,74.7,13.0,11,7.63,719.366,81.0,12,91.0,6.84,98.0,0.1,4251.574,17153357.0,1.1,1.0,0.775,16.3,12.632,0.002,1.083
Argentina,2003,Developing,74.1,137.0,11,7.62,57.585,73.0,55.7,13,95.0,8.22,96.0,0.1,333.438,3839379.0,1.2,1.0,0.77,16.4,74.1,137.0,11,7.62,57.585,73.0,13,95.0,8.22,96.0,0.1,333.438,3839379.0,1.2,1.0,0.77,16.4,12.628,0.025,10.538
Argentina,2002,Developing,74.1,138.0,12,7.81,470.187,66.0,55.1,13,94.0,8.31,93.0,0.1,2579.193,3788937.0,1.2,1.0,0.776,16.3,74.1,138.0,12,7.81,470.187,66.0,13,94.0,8.31,93.0,0.1,2579.193,3788937.0,1.2,1.0,0.776,16.3,12.649,0.003,10.615
Argentina,2001,Developing,74.0,138.0,12,7.76,123.013,66.0,54.6,13,85.0,9.38,83.0,0.1,717.695,3747159.0,1.2,1.1,0.771,15.6,74.0,138.0,12,7.76,123.013,66.0,13,85.0,9.38,83.0,0.1,717.695,3747159.0,1.2,1.1,0.771,15.6,12.028,0.013,10.615
Argentina,2000,Developing,74.1,137.0,12,7.68,1349.025,66.0,54.0,14,88.0,9.21,83.0,0.1,7669.274,3757452.0,1.2,1.1,0.764,15.0,74.1,137.0,12,7.68,1109.855,66.0,14,88.0,9.21,83.0,0.1,7669.274,3757452.0,1.2,1.1,0.764,15.0,11.46,0.001,9.786
Armenia,2014,Developing,74.6,12.0,1,3.91,295.609,93.0,54.1,1,95.0,4.48,93.0,0.1,3994.712,29622.0,2.1,2.1,0.739,12.7,74.6,12.0,1,3.91,295.609,93.0,1,95.0,4.48,93.0,0.1,3994.712,29622.0,2.1,2.1,0.739,12.7,9.385,0.001,12.0
Armenia,2013,Developing,74.4,123.0,1,3.79,279.429,95.0,53.3,1,96.0,4.55,95.0,0.1,3843.591,289359.0,2.1,2.1,0.736,12.7,74.4,123.0,1,3.79,279.429,95.0,1,96.0,4.55,95.0,0.1,3843.591,289359.0,2.1,2.1,0.736,12.7,9.347,0.001,123.0
Armenia,2012,Developing,74.4,121.0,1,3.89,274.153,95.0,52.6,1,96.0,4.48,95.0,0.1,3684.848,2881922.0,2.0,2.1,0.732,12.7,74.4,121.0,1,3.89,274.153,95.0,1,96.0,4.48,95.0,0.1,3684.848,2881922.0,2.0,2.1,0.732,12.7,9.296,0.001,121.0
Armenia,2011,Developing,73.9,128.0,1,4.09,260.996,95.0,51.9,1,96.0,3.71,95.0,0.1,3526.978,2875581.0,2.0,2.1,0.729,12.7,73.9,128.0,1,4.09,260.996,95.0,1,96.0,3.71,95.0,0.1,3526.978,2875581.0,2.0,2.1,0.729,12.7,9.258,0.001,128.0
Armenia,2010,Developing,73.5,132.0,1,4.23,224.321,94.0,51.2,1,96.0,4.56,94.0,0.1,3218.382,2877311.0,2.0,2.1,0.72,12.3,73.5,132.0,1,4.23,224.321,94.0,1,96.0,4.56,94.0,0.1,3218.382,2877311.0,2.0,2.1,0.72,12.3,8.856,0.001,132.0
Armenia,2009,Developing,73.3,137.0,1,3.96,201.186,93.0,5.7,1,94.0,4.55,93.0,0.1,2993.833,2888584.0,2.0,2.1,0.725,11.9,73.3,137.0,1,3.96,201.186,93.0,1,94.0,4.55,93.0,0.1,2993.833,2888584.0,2.0,2.1,0.725,11.9,8.628,0.002,137.0
Armenia,2008,Developing,73.2,14.0,1,3.96,2.889,89.0,5.1,1,91.0,3.8,89.0,0.1,41.27,29822.0,2.0,2.1,0.721,12.3,73.2,14.0,1,3.96,2.889,89.0,1,91.0,3.8,89.0,0.1,41.27,29822.0,2.0,2.1,0.721,12.3,8.868,0.092,14.0
Armenia,2006,Developing,72.9,141.0,1,4.01,244.535,78.0,49.2,1,87.0,4.58,87.0,0.1,2158.299,29585.0,2.0,2.1,0.692,11.2,72.9,141.0,1,4.01,244.535,78.0,1,87.0,4.58,87.0,0.1,2158.299,29585.0,2.0,2.1,0.692,11.2,7.75,0.002,141.0
Armenia,2005,Developing,73.0,137.0,1,4.25,20.218,91.0,48.8,1,92.0,5.25,9.0,0.1,1643.758,2981259.0,2.0,2.1,0.679,10.9,73.0,137.0,1,4.25,20.218,91.0,1,92.0,5.25,45.0,0.1,1643.758,2981259.0,2.0,2.1,0.679,10.9,7.401,0.003,137.0
