Adult Mortality,Alcohol,percentage expenditure,BMI,Polio,Diphtheria,HIV/AIDS,GDP,thinness 10-19 years,Income composition of resources,Schooling,Economic_health_index,Health_expenditure_ratio,Mortality_rate_ratio
219.0,2.88,332.106,46.2,94.0,92.0,0.4,0.234,2.1,0.615,11.6,7.134,35.029,54.75
259.0,5.68,4.106,45.3,67.0,68.0,1.5,0.007,4.0,0.47,8.7,4.089,192.166,12.95
197.0,1.56,15.353,16.1,97.0,97.0,0.1,0.017,15.4,0.705,12.8,9.024,247.013,19.7
129.0,4.25,26.451,24.9,97.0,96.0,0.6,0.023,8.3,0.596,11.9,7.092,219.324,11.024000000000001
64.0,3.65,0.0,31.7,98.0,98.0,0.1,0.174,1.5,0.675,12.3,8.302,32.888,32.0
467.0,3.15,0.0,19.9,7.0,66.0,7.0,0.174,7.9,0.675,12.3,8.302,27.837,4.968
322.0,0.49,11.766,15.1,94.0,94.0,1.1,0.033,9.1,0.406,5.2,2.111,113.303,35.778
153.0,6.5,788.687,31.3,99.0,99.0,0.1,0.618,7.9,0.733,13.6,9.969,6.473,15.3
285.0,1.15,10.736,2.1,74.0,72.0,2.1,0.058,8.9,0.423,8.1,3.426,78.248,7.308
12.0,0.6,373.263,59.3,98.0,98.0,0.1,0.277,3.8,0.736,13.6,10.01,30.191,3.0
214.0,0.48,10.624,71.4,61.0,62.0,0.1,0.011,0.2,0.0,12.4,0.0,123.963,11.024000000000001
167.0,16.99,225.072,56.7,95.0,95.0,0.1,0.19,2.0,0.835,16.1,13.444,34.811,11.024000000000001
157.0,10.89,591.51,6.9,95.0,95.0,0.1,0.594,2.1,0.755,13.5,10.192,10.79,157.0
163.0,9.69,15.236,57.0,94.0,93.0,0.1,0.017,2.5,0.709,12.9,9.146,399.099,163.0
65.0,6.61,725.485,55.9,97.0,97.0,0.1,0.395,1.0,0.866,17.6,15.242,4.304,11.024000000000001
23.0,0.32,8.309,2.3,93.0,94.0,0.7,0.009,11.0,0.425,6.8,2.89,502.825,0.639
31.0,8.64,52.311,33.0,74.0,76.0,8.0,0.076,6.7,0.652,12.4,8.085,44.941,10.333
147.0,3.65,0.0,64.5,95.0,95.0,0.1,0.174,2.5,0.79,12.6,9.954,32.888,11.024000000000001
232.0,0.17,27.489,19.5,93.0,93.0,0.4,0.018,16.8,0.0,10.9,0.0,358.28,232.0
153.0,3.39,0.0,3.8,99.0,94.0,0.1,0.174,5.1,0.675,12.3,8.302,32.888,15.3
145.0,0.01,0.0,42.9,99.0,99.0,0.1,0.174,3.4,0.675,12.3,8.302,24.68,11.024000000000001
127.0,0.01,261.291,59.0,94.0,94.0,0.1,0.193,1.9,0.856,16.5,14.124,33.554,11.024000000000001
216.0,3.47,0.0,47.3,85.0,84.0,0.2,0.174,1.3,0.626,14.1,8.827,28.468,15.429
142.0,3.33,235.707,49.7,9.0,9.0,0.6,0.43,1.9,0.721,12.7,9.157,12.004,142.0
396.0,9.66,10.358,19.9,46.0,4.0,5.3,0.012,12.6,0.466,9.0,4.194,309.501,0.451
61.0,7.96,66.378,59.9,96.0,96.0,0.1,0.046,0.5,0.866,16.3,14.116,191.901,30.5
73.0,1.83,91.14,22.1,97.0,96.0,0.1,0.063,14.0,0.653,11.6,7.575,125.247,11.024000000000001
11.0,11.89,167.328,5.1,96.0,96.0,0.1,0.115,0.8,0.777,15.5,12.044,79.299,11.0
273.0,0.6,9.586,2.7,77.0,73.0,1.5,0.008,8.8,0.396,7.3,2.891,826.591,3.0
83.0,0.01,0.0,58.5,99.0,99.0,0.1,0.174,8.3,0.77,14.9,11.473,39.545,3.773
316.0,0.01,10.575,12.6,35.0,33.0,0.1,0.012,2.1,0.34,5.9,2.006,672.386,2.59
377.0,3.65,0.0,42.9,93.0,93.0,4.2,0.168,3.4,0.0,0.0,0.0,34.112,8.976
12.0,4.09,1043.108,49.3,9.0,9.0,0.1,0.443,2.1,0.719,12.2,8.772,17.603,12.0
495.0,1.5,60.049,19.0,46.0,48.0,9.0,0.04,9.4,0.33,6.2,2.046,111.079,19.038
179.0,0.03,40.368,19.5,77.0,78.0,0.1,0.087,21.0,0.501,6.5,3.256,38.923,0.391
152.0,6.41,789.077,32.4,99.0,99.0,0.1,0.595,7.8,0.737,13.6,10.023,6.925,15.2
144.0,10.4,9.146,56.0,99.0,99.0,0.1,0.009,2.3,0.803,15.0,12.045,661.709,48.0
147.0,1.08,4.784,72.1,86.0,84.0,0.1,0.004,0.1,0.703,14.5,10.194,1289.19,11.024000000000001
147.0,3.39,321.613,5.9,99.0,98.0,0.1,0.168,1.8,0.62,11.5,7.13,37.945,49.0
344.0,1.37,0.676,19.8,72.0,82.0,5.1,0.004,7.9,0.443,10.6,4.696,1348.707,15.636
249.0,0.04,0.0,32.7,61.0,61.0,0.1,0.174,14.0,0.457,8.2,3.747,28.698,4.293
274.0,1.51,0.328,12.1,62.0,59.0,2.1,0.0,11.6,0.401,7.2,2.887,29234.899,7.611
291.0,9.02,545.439,31.9,78.0,81.0,10.0,0.836,6.9,0.645,12.4,7.998,3.419,97.0
375.0,0.01,54.912,22.2,79.0,79.0,4.1,0.062,3.6,0.409,9.1,3.722,112.107,4.464
278.0,1.59,37.045,42.9,74.0,74.0,0.2,0.056,3.4,0.415,5.7,2.366,60.02,2.725
166.0,6.02,664.559,53.6,85.0,88.0,0.9,0.546,3.3,0.697,12.9,8.991,8.427,20.75
91.0,9.96,579.738,59.8,99.0,99.0,0.1,0.472,0.9,0.878,17.0,14.926,19.478,11.024000000000001
554.0,10.47,22.594,13.0,55.0,52.0,11.6,0.026,7.0,0.382,9.8,3.744,264.071,2.901
62.0,7.3,682.107,56.9,98.0,98.0,0.1,0.463,1.3,0.898,15.8,14.188,21.453,11.024000000000001
224.0,5.07,0.0,2.7,87.0,82.0,1.5,0.174,8.0,0.488,9.3,4.538,50.852,11.024000000000001
15.0,1.36,379.766,51.4,97.0,97.0,0.1,0.312,6.4,0.673,13.6,9.153,18.067,3.75
61.0,2.63,409.411,63.0,95.0,95.0,0.1,0.367,1.2,0.878,15.7,13.785,20.075,61.0
518.0,0.01,153.344,31.4,9.0,93.0,9.6,0.12,6.1,0.484,11.1,5.372,97.793,86.333
295.0,0.03,17.172,14.7,58.0,58.0,0.1,0.027,19.2,0.405,8.1,3.28,273.841,2.543
32.0,4.73,64.24,14.6,94.0,86.0,2.0,0.042,1.0,0.325,4.7,1.528,156.057,0.372
194.0,0.86,1.142,31.6,84.0,85.0,0.3,0.002,4.1,0.535,9.7,5.19,2840.174,12.125
46.0,0.42,8.936,15.4,37.0,25.0,5.2,0.006,1.5,0.306,5.6,1.714,604.643,0.582
123.0,0.01,285.61,49.7,92.0,89.0,0.1,0.751,2.8,0.742,11.8,8.756,7.153,20.5
162.0,0.27,80.155,18.0,92.0,92.0,0.1,0.069,16.1,0.545,12.3,6.704,82.696,6.75
167.0,9.5,0.0,62.6,99.0,98.0,0.2,0.174,2.5,0.789,12.6,9.941,42.645,11.024000000000001
227.0,0.7,325.111,38.7,88.0,84.0,0.1,0.094,1.4,0.442,6.6,2.917,68.171,11.024000000000001
76.0,3.65,0.0,62.1,97.0,97.0,0.1,0.425,0.9,0.893,17.0,15.181,13.48,11.024000000000001
97.0,1.29,14.556,64.9,75.0,81.0,0.1,0.085,4.8,0.766,13.3,10.188,78.37,97.0
165.0,0.04,59.659,23.2,72.0,72.0,0.1,0.126,19.8,0.529,7.6,4.02,21.876,0.362
146.0,0.55,39.333,43.1,8.0,76.0,0.1,0.076,3.1,0.651,10.6,6.901,58.561,16.222
11.0,0.4,166.191,53.5,99.0,99.0,0.1,0.246,7.1,0.796,13.7,10.905,14.426,11.0
74.0,10.68,0.0,64.2,95.0,95.0,0.1,0.174,0.8,0.675,12.3,8.302,53.607,18.5
464.0,3.8,38.001,19.7,65.0,64.0,2.2,0.032,9.1,0.348,8.0,2.784,52.311,10.087
218.0,4.85,198.256,22.6,78.0,79.0,0.1,0.213,1.0,0.662,11.4,7.547,20.504,2.946
185.0,13.18,7.601,56.6,99.0,99.0,0.1,0.053,2.2,0.769,14.2,10.92,134.906,185.0
236.0,6.83,11.152,49.2,98.0,99.0,0.1,0.01,2.3,0.763,14.5,11.064,459.816,29.5
183.0,2.05,13.391,19.2,97.0,97.0,0.1,0.022,15.3,0.735,13.4,9.849,156.488,45.75
255.0,8.86,154.876,35.2,77.0,79.0,3.7,0.969,6.2,0.678,12.5,8.475,4.106,85.0
224.0,5.78,9.013,22.8,99.0,96.0,1.6,0.069,7.2,0.509,9.8,4.988,143.477,11.024000000000001
12.0,13.23,0.0,63.1,99.0,99.0,0.1,0.174,1.9,0.675,12.3,8.302,45.055,11.024000000000001
141.0,4.01,244.535,49.2,87.0,87.0,0.1,0.216,2.0,0.692,11.2,7.75,21.202,141.0
238.0,0.08,17.912,11.4,74.0,74.0,0.1,0.023,18.5,0.439,8.9,3.907,235.964,3.839
165.0,0.88,337.294,44.9,67.0,68.0,0.1,0.189,1.6,0.0,10.6,0.0,20.5,11.024000000000001
194.0,5.88,0.276,18.7,97.0,97.0,0.8,0.003,9.4,0.64,10.9,6.976,1311.437,9.238
183.0,0.01,3.718,49.7,94.0,88.0,0.1,0.003,1.1,0.512,9.6,4.915,1963.096,11.024000000000001
183.0,0.08,254.469,24.7,84.0,83.0,0.3,0.369,1.5,0.669,12.6,8.429,7.854,1.188
158.0,8.42,146.438,43.1,99.0,99.0,0.1,0.741,3.8,0.0,15.6,0.0,8.425,11.024000000000001
6.0,10.8,230.252,57.3,99.0,99.0,0.1,0.322,0.9,0.849,14.1,11.971,22.986,11.024000000000001
77.0,6.22,1009.825,55.9,92.0,92.0,0.1,0.576,0.8,0.924,17.5,16.17,16.375,11.024000000000001
338.0,2.58,0.0,23.3,77.0,79.0,4.3,0.174,8.4,0.527,10.0,5.27,16.645,30.727
183.0,0.22,6.194,15.9,93.0,89.0,0.2,0.005,16.9,0.502,10.5,5.271,1360.2,5.719
121.0,1.39,22.673,6.2,96.0,96.0,0.1,0.018,5.0,0.705,12.5,8.812,363.52,4.172
185.0,2.23,0.0,61.5,85.0,85.0,0.1,0.174,0.3,0.0,0.0,0.0,45.227,11.024000000000001
145.0,0.91,471.863,49.1,66.0,65.0,0.1,0.297,1.5,0.59,10.8,6.372,15.864,11.024000000000001
129.0,8.16,1105.659,58.0,92.0,91.0,0.1,0.72,1.1,0.788,16.3,12.844,9.009,10.75
149.0,7.28,22.863,4.8,97.0,97.0,0.1,0.135,3.5,0.0,0.0,0.0,31.108,11.024000000000001
139.0,9.97,0.0,46.7,99.0,99.0,0.1,0.174,4.3,0.723,13.1,9.471,38.57,11.024000000000001
113.0,0.41,63.878,64.8,98.0,98.0,0.1,0.047,3.9,0.737,13.1,9.655,159.862,28.25
161.0,0.01,36.116,6.9,98.0,98.0,0.1,0.056,5.6,0.756,14.0,10.584,84.908,80.5
138.0,3.65,0.0,47.5,99.0,99.0,0.1,0.174,4.3,0.735,13.1,9.628,32.888,11.024000000000001
213.0,0.07,0.0,51.3,73.0,75.0,0.1,0.174,5.5,0.616,9.4,5.79,25.024,5.757
38.0,2.58,13.53,19.6,69.0,64.0,5.0,0.039,9.4,0.0,7.7,0.0,137.914,4.75
168.0,4.16,509.39,27.5,98.0,98.0,0.1,0.524,7.8,0.696,12.8,8.909,8.192,11.024000000000001
127.0,4.77,12.186,54.1,98.0,97.0,0.1,0.072,1.9,0.703,11.6,8.155,77.062,2.19
334.0,5.07,197.784,18.7,43.0,35.0,2.3,0.229,1.6,0.527,8.0,4.216,7.787,83.5
259.0,1.16,71.014,22.5,8.0,79.0,1.6,0.079,7.9,0.448,9.3,4.166,56.238,6.641
69.0,2.44,54.043,17.3,85.0,84.0,18.4,0.038,7.4,0.433,10.0,4.33,184.276,1.045
85.0,0.01,0.0,56.0,99.0,99.0,0.1,0.174,8.0,0.755,13.6,10.268,40.062,3.542
116.0,13.24,0.0,6.8,96.0,98.0,0.1,0.174,2.1,0.675,12.3,8.302,39.603,11.024000000000001
234.0,1.99,62.218,13.9,82.0,82.0,1.4,0.047,11.5,0.47,10.0,4.7,123.385,10.636
14.0,4.17,523.472,54.6,99.0,89.0,0.1,0.468,3.4,0.732,14.7,10.76,16.404,14.0
412.0,1.82,39.557,16.4,7.0,76.0,11.6,0.052,8.6,0.474,9.6,4.55,84.013,3.815
296.0,2.51,0.0,2.3,88.0,87.0,2.9,0.174,9.4,0.404,7.6,3.07,24.967,49.333
196.0,4.79,219.024,4.8,91.0,91.0,0.3,0.337,3.8,0.668,11.7,7.816,11.816,11.024000000000001
139.0,3.65,0.0,32.9,99.0,96.0,0.1,0.174,4.9,0.675,12.3,8.302,32.888,19.857
198.0,3.65,0.0,53.1,98.0,98.0,0.1,0.016,2.4,0.793,15.0,11.895,361.38,39.6
346.0,1.98,0.0,14.9,42.0,4.0,2.5,0.174,12.4,0.675,12.3,8.302,8.322,1.042
16.0,12.1,206.887,6.6,97.0,97.0,0.1,0.136,1.6,0.803,14.2,11.403,60.828,11.024000000000001
268.0,0.01,8.386,18.8,91.0,91.0,0.6,0.007,8.2,0.398,7.7,3.065,674.05,4.254
173.0,3.83,253.001,47.9,93.0,93.0,0.2,0.134,2.0,0.601,11.0,6.611,51.382,43.25
44.0,2.58,30.36,15.8,41.0,38.0,2.1,0.053,1.7,0.391,5.1,1.994,102.409,0.277
81.0,8.09,160.89,58.6,92.0,92.0,0.1,0.141,0.8,0.811,14.6,11.841,61.759,81.0
167.0,0.26,80.588,17.4,9.0,9.0,0.2,0.068,16.3,0.538,12.3,6.617,86.462,6.68
283.0,1.12,7.493,21.5,82.0,82.0,2.0,0.007,8.3,0.438,8.9,3.898,606.858,7.256
24.0,5.58,63.04,26.9,98.0,98.0,0.5,0.113,6.1,0.542,10.6,5.745,46.375,11.024000000000001
437.0,1.66,32.737,15.1,83.0,84.0,15.7,0.039,8.9,0.451,8.5,3.834,114.991,3.703
172.0,6.71,167.266,45.0,94.0,92.0,0.3,0.197,5.8,0.773,12.7,9.817,30.365,11.024000000000001
23.0,14.66,1109.855,61.1,98.0,98.0,0.1,0.799,2.0,0.796,15.7,12.497,8.385,23.0
169.0,10.14,24.708,59.4,92.0,92.0,0.1,0.137,2.2,0.81,15.8,12.798,44.42,11.024000000000001
263.0,0.68,38.419,16.3,83.0,85.0,0.6,0.029,8.0,0.478,9.0,4.302,175.631,4.87
72.0,10.42,0.0,64.8,95.0,95.0,0.1,0.174,0.8,0.675,12.3,8.302,54.009,18.0
99.0,4.25,3.48,49.9,87.0,84.0,0.1,0.026,3.0,0.0,12.3,0.0,355.532,11.024000000000001
81.0,1.73,387.775,57.1,95.0,95.0,0.1,0.447,5.1,0.824,13.3,10.959,8.281,81.0
282.0,6.39,0.662,17.1,97.0,97.0,3.7,0.0,6.7,0.438,10.4,4.555,19179.291,10.071
15.0,1.23,0.0,58.5,97.0,95.0,0.1,0.174,2.2,0.739,12.9,9.533,38.799,11.024000000000001
22.0,2.75,579.413,45.9,98.0,97.0,0.1,0.668,3.2,0.672,10.7,7.19,2.932,2.75
165.0,3.65,0.0,19.1,9.0,91.0,0.1,0.074,15.7,0.555,12.2,6.771,77.089,7.857
91.0,5.28,41.823,54.3,99.0,99.0,0.1,0.049,1.4,0.725,12.5,9.062,108.211,91.0
241.0,0.97,78.8,18.5,73.0,73.0,0.4,0.045,7.5,0.504,10.2,5.141,93.387,5.605
169.0,8.8,119.555,4.5,99.0,99.0,0.1,0.676,3.9,0.0,14.9,0.0,8.131,11.024000000000001
273.0,1.71,27.69,12.4,59.0,6.0,2.2,0.032,11.6,0.412,7.6,3.131,178.088,8.273
19.0,4.1,334.767,51.3,98.0,99.0,0.1,0.3,3.5,0.692,12.5,8.65,21.684,19.0
161.0,0.21,0.0,6.2,94.0,94.0,0.1,0.174,2.8,0.686,13.1,8.987,32.371,2.597
568.0,6.72,143.62,26.3,87.0,84.0,48.8,0.144,9.0,0.506,9.3,4.706,35.528,142.0
128.0,4.09,260.996,51.9,96.0,95.0,0.1,0.353,2.0,0.729,12.7,9.258,10.507,128.0
454.0,3.81,0.0,17.7,95.0,95.0,10.8,0.174,7.8,0.675,12.3,8.302,23.532,2.948
276.0,5.99,145.102,44.8,95.0,95.0,0.1,0.166,2.6,0.7,12.7,8.89,21.756,30.667
235.0,9.89,0.0,46.5,97.0,95.0,0.1,0.174,3.6,0.675,12.3,8.302,38.168,117.5
566.0,6.37,629.843,32.7,96.0,96.0,20.6,0.536,1.0,0.593,11.9,7.057,10.488,188.667
289.0,3.57,40.454,23.7,85.0,86.0,5.7,0.069,7.8,0.41,9.0,3.69,78.885,41.286
98.0,0.09,15.507,62.4,98.0,98.0,0.1,0.024,7.2,0.779,12.8,9.971,121.334,9.8
122.0,0.8,0.0,5.4,83.0,79.0,0.1,0.174,6.4,0.651,11.6,7.552,19.514,13.556
71.0,10.94,895.878,61.4,94.0,95.0,0.1,0.466,1.1,0.919,16.9,15.531,23.949,23.667
174.0,8.78,375.174,52.9,97.0,97.0,0.1,0.278,3.5,0.722,12.5,9.025,19.08,43.5
174.0,0.16,0.0,53.5,98.0,98.0,0.1,0.174,3.2,0.629,11.4,7.171,32.141,2.559
43.0,0.42,3.979,14.8,36.0,23.0,5.1,0.029,1.9,0.284,5.4,1.534,188.41,0.558
66.0,10.75,746.367,62.1,96.0,96.0,0.1,0.556,0.3,0.91,18.6,16.926,13.991,11.024000000000001
184.0,3.07,86.522,18.1,84.0,85.0,0.2,0.157,26.8,0.607,11.6,7.041,29.797,0.153
89.0,10.59,0.0,57.5,91.0,91.0,0.1,0.174,0.7,0.675,12.3,8.302,39.832,17.8
11.0,2.84,14.231,21.2,86.0,86.0,0.1,0.015,5.7,0.592,9.6,5.683,300.497,0.02
137.0,7.68,1349.025,54.0,88.0,83.0,0.1,0.768,1.2,0.764,15.0,11.46,11.992,9.786
112.0,0.53,544.451,57.2,95.0,95.0,0.1,0.548,5.9,0.737,14.4,10.613,12.995,4.667
251.0,2.01,128.636,42.9,85.0,86.0,0.3,0.129,3.4,0.444,6.3,2.797,63.238,2.642
261.0,1.34,67.734,15.6,69.0,61.0,1.7,0.034,11.0,0.401,8.1,3.248,201.602,1.074
12.0,1.28,64.856,56.5,98.0,98.0,0.1,0.041,6.3,0.71,14.4,10.224,158.298,4.0
273.0,1.43,30.911,12.8,54.0,54.0,2.1,0.034,11.6,0.427,8.2,3.501,175.751,9.414
161.0,3.59,16.975,46.3,99.0,99.0,1.9,0.048,1.9,0.706,12.4,8.754,97.642,161.0
161.0,6.7,0.0,6.4,73.0,81.0,0.1,0.174,1.6,0.767,14.1,10.815,27.55,16.1
273.0,9.46,456.459,57.6,91.0,9.0,0.4,0.39,2.5,0.73,14.9,10.877,17.017,45.5
16.0,10.72,25.063,57.5,94.0,94.0,0.1,0.177,2.4,0.713,12.9,9.198,40.936,16.0
285.0,1.13,7.107,2.5,73.0,7.0,2.1,0.006,8.7,0.43,8.5,3.655,785.494,7.308
82.0,1.69,308.066,55.8,94.0,94.0,0.1,0.355,5.1,0.826,13.3,10.986,11.06,82.0
477.0,4.89,457.72,27.9,86.0,86.0,22.1,0.358,13.1,0.565,11.6,6.554,20.462,119.25
554.0,2.33,121.879,18.4,84.0,82.0,17.0,0.069,7.1,0.467,10.7,4.997,109.444,10.073
5.0,7.31,764.544,6.2,91.0,91.0,0.1,0.479,1.0,0.907,19.0,17.233,18.277,11.024000000000001
133.0,0.58,127.763,49.9,97.0,97.0,0.1,0.219,6.4,0.575,10.0,5.75,23.845,5.32
34.0,0.01,0.0,23.2,97.0,97.0,1.4,0.174,6.8,0.675,12.3,8.302,32.027,0.281
19.0,3.65,0.0,59.1,96.0,96.0,0.1,0.174,1.2,0.842,15.0,12.63,32.888,11.024000000000001
21.0,2.4,288.402,43.1,88.0,87.0,0.4,0.187,1.4,0.564,9.3,5.245,36.124,1.167
235.0,0.03,0.0,36.4,76.0,76.0,0.1,0.174,13.8,0.483,8.4,4.057,30.534,5.109
266.0,0.24,69.968,19.2,67.0,68.0,0.1,0.062,7.5,0.434,9.7,4.21,69.535,133.0
93.0,1.47,620.952,18.0,98.0,98.0,0.1,0.349,14.4,0.625,12.1,7.562,27.258,11.024000000000001
144.0,7.32,83.165,55.3,96.0,93.0,0.1,0.123,2.7,0.747,15.2,11.354,67.811,2.939
289.0,8.9,133.522,34.1,75.0,75.0,6.0,0.172,6.4,0.664,12.5,8.3,18.168,96.333
234.0,0.21,302.668,18.8,96.0,96.0,0.4,0.18,17.1,0.0,10.5,0.0,36.628,234.0
18.0,8.71,0.0,66.3,93.0,95.0,0.1,0.174,0.7,0.675,12.3,8.302,97.572,0.581
165.0,3.21,0.0,27.7,97.0,79.0,0.1,0.174,5.7,0.675,12.3,8.302,32.888,12.692
511.0,1.5,40.922,18.2,47.0,54.0,11.2,0.033,9.7,0.319,5.9,1.882,131.609,19.654
163.0,0.1,38.584,15.5,72.0,72.0,0.1,0.085,11.5,0.599,12.4,7.428,10.829,54.333
37.0,0.84,12.056,41.1,61.0,72.0,1.5,0.008,1.4,0.446,7.9,3.523,844.515,2.467
36.0,1.53,0.0,17.3,62.0,62.0,2.0,0.174,11.3,0.675,12.3,8.302,19.457,0.11
121.0,0.59,313.363,58.6,98.0,98.0,0.1,0.254,3.9,0.733,13.7,10.042,34.648,30.25
128.0,0.53,110.678,38.5,97.0,97.0,0.1,0.188,7.8,0.779,12.9,10.049,22.297,32.0
266.0,3.72,60.447,25.0,77.0,77.0,1.5,0.038,7.2,0.406,9.5,3.857,296.599,22.167
242.0,0.01,751.398,34.9,88.0,88.0,2.2,0.543,8.6,0.632,11.7,7.394,16.45,80.667
34.0,7.97,115.069,21.7,57.0,43.0,7.3,0.165,9.2,0.59,9.1,5.369,32.158,8.5
129.0,4.0,0.0,16.0,93.0,59.0,0.1,0.174,14.3,0.668,12.3,8.216,41.152,3.686
88.0,5.79,9.956,3.9,99.0,99.0,0.1,0.078,3.8,0.713,12.7,9.055,69.337,0.407
151.0,3.11,363.572,48.4,97.0,97.0,0.4,0.218,2.2,0.614,11.6,7.122,44.857,37.75
252.0,0.12,5.884,17.3,75.0,7.0,0.9,0.035,1.7,0.312,4.5,1.404,183.266,2.653
185.0,1.96,77.271,38.1,94.0,96.0,0.4,0.065,3.2,0.626,11.8,7.387,83.987,6.852
4.0,1.18,39.752,2.1,74.0,74.0,11.3,0.046,3.7,0.382,9.2,3.514,117.297,0.04
122.0,11.9,161.447,51.2,93.0,91.0,0.1,0.123,2.2,0.818,14.6,11.943,67.261,11.024000000000001
285.0,0.01,0.949,24.3,87.0,87.0,5.3,0.007,7.7,0.416,9.1,3.786,900.595,47.5
335.0,3.65,0.0,23.3,7.0,64.0,1.9,0.37,8.3,0.531,11.4,6.053,15.486,3.418
159.0,0.01,30.18,16.2,83.0,83.0,0.1,0.112,11.2,0.618,12.5,7.725,9.84,79.5
335.0,0.73,62.563,37.5,51.0,59.0,1.1,0.063,1.6,0.418,6.2,2.592,63.045,23.929
138.0,12.03,153.14,65.1,88.0,88.0,0.1,0.786,1.9,0.787,14.8,11.648,10.732,138.0
339.0,0.01,92.887,17.2,82.0,78.0,4.6,0.065,5.8,0.477,10.0,4.77,117.134,3.11
341.0,1.85,0.0,15.7,4.0,38.0,2.4,0.174,12.1,0.675,12.3,8.302,14.865,1.03
496.0,8.5,732.126,44.3,79.0,82.0,28.1,0.564,1.6,0.609,12.9,7.856,13.424,6.049
29.0,0.18,59.188,52.5,69.0,65.0,0.1,0.185,5.4,0.628,10.1,6.343,22.313,0.784
127.0,9.56,915.319,57.7,94.0,94.0,0.1,0.643,2.2,0.757,13.5,10.22,15.112,127.0
33.0,3.65,0.0,23.4,9.0,9.0,4.1,0.131,6.3,0.576,12.5,7.2,43.596,0.825
163.0,3.23,203.713,42.8,98.0,98.0,0.9,0.131,2.5,0.577,10.6,6.116,59.518,27.167
88.0,7.31,241.553,59.3,95.0,95.0,0.1,0.178,0.9,0.804,15.2,12.221,38.539,44.0
132.0,9.54,96.332,55.8,95.0,95.0,0.1,0.067,2.3,0.749,13.5,10.112,22.348,132.0
198.0,3.77,2.542,44.9,86.0,86.0,0.3,0.011,2.1,0.583,11.0,6.413,536.513,39.6
412.0,4.71,7.177,22.8,72.0,73.0,7.5,0.009,7.0,0.455,8.2,3.731,515.925,4.383
172.0,6.3,0.0,55.3,86.0,68.0,0.1,0.174,1.7,0.688,11.6,7.981,28.296,14.333
14.0,4.13,750.715,55.4,99.0,93.0,0.1,0.519,3.4,0.754,16.0,12.064,2.735,14.0
19.0,3.65,0.0,59.5,95.0,95.0,0.1,0.414,6.0,0.743,14.4,10.699,13.848,0.792
299.0,0.64,126.614,41.9,67.0,72.0,1.5,0.085,1.4,0.454,8.2,3.723,69.316,21.357
87.0,11.44,0.0,58.8,91.0,91.0,0.1,0.174,0.7,0.675,12.3,8.302,43.448,21.75
78.0,1.82,377.201,6.5,98.0,98.0,0.1,0.434,5.2,0.829,13.3,11.026,8.04,78.0
