year,selling_price,fuel,seller_type,transmission,owner,brand,km_dr_gr,mpow_val_d
2009,175000,1,1,0,1,1,1,75.0
2013,525000,1,1,0,1,1,1,75.0
2016,600000,0,0,0,1,1,3,75.0
2016,565000,1,1,1,1,1,2,75.0
2017,725000,0,0,0,1,1,3,100.0
2009,185000,1,1,0,2,1,2,75.0
2010,200000,0,0,0,2,1,3,100.0
2019,615000,1,0,0,1,1,0,75.0
2016,270000,1,0,0,3,1,3,75.0
2018,610000,1,0,0,1,1,0,75.0
2014,625000,0,0,1,2,1,2,125.0
2020,400000,1,0,0,2,1,0,100.0
2017,866000,1,0,0,1,1,1,125.0
2010,700000,1,0,0,1,1,3,150.0
2010,300000,1,0,0,1,1,1,75.0
2019,1700000,0,0,0,1,1,0,150.0
2016,375000,0,0,0,1,1,3,75.0
2013,522000,0,0,0,2,1,3,125.0
2013,451999,0,0,0,1,1,2,100.0
2009,300000,1,0,0,2,1,3,150.0
2020,475000,1,0,0,1,1,0,75.0
2016,780000,0,0,0,1,1,1,100.0
2017,595000,1,0,0,1,1,1,75.0
2017,440000,1,0,0,1,1,0,75.0
2014,400000,0,0,0,3,1,2,75.0
2016,1140000,0,0,0,1,1,1,125.0
2017,850000,0,0,0,1,1,2,100.0
2012,370000,0,0,0,4,1,3,75.0
2018,350000,1,0,0,1,1,0,75.0
2015,360000,1,0,0,2,1,1,75.0
2008,105000,1,0,0,4,1,2,50.0
2013,625000,0,0,0,2,1,2,100.0
2009,135000,1,0,0,2,1,2,50.0
2015,700000,0,0,0,2,1,3,100.0
2019,690000,1,1,0,1,1,0,75.0
2018,3975000,0,1,1,1,2,0,200.0
2019,5150000,1,1,1,1,2,0,225.0
2017,3200000,0,1,1,1,2,1,175.0
2017,4100000,1,0,1,1,1,0,275.0
2019,4500000,0,1,1,1,2,0,150.0
2017,6000000,0,1,1,1,2,1,250.0
2019,5800000,0,1,1,1,2,0,200.0
2018,1864999,1,1,1,1,1,1,175.0
2016,2700000,0,1,1,1,2,0,200.0
2019,1750000,1,1,1,1,1,0,150.0
2017,795000,1,1,1,1,1,1,125.0
2013,625000,1,1,1,1,1,1,150.0
2018,3400000,0,1,1,1,2,0,200.0
2015,2650000,0,1,1,1,2,1,250.0
2015,535000,0,1,0,1,1,1,100.0
2017,5850000,0,1,1,1,2,1,275.0
2010,975000,1,1,1,2,2,2,150.0
2016,805000,1,1,0,1,1,1,150.0
2017,2625000,0,1,1,1,2,0,175.0
2018,811000,1,1,0,1,1,0,100.0
2011,375000,1,0,0,1,1,1,100.0
2012,550000,1,0,0,1,1,2,150.0
2016,645000,1,1,1,1,1,0,100.0
2014,599000,1,1,0,1,1,1,100.0
2017,2700000,1,1,1,1,2,0,175.0
2017,875000,1,1,1,1,1,0,125.0
2019,894999,1,1,1,1,1,0,75.0
2011,175000,1,1,0,1,1,0,75.0
2012,340000,1,1,0,1,1,0,75.0
2016,1525000,0,1,1,2,1,1,175.0
2018,1025000,0,1,1,1,1,0,100.0
2016,2150000,0,1,1,1,2,0,200.0
2016,1900000,1,1,1,1,1,1,150.0
2016,2900000,0,1,1,1,2,0,200.0
2009,450000,1,1,1,1,1,2,175.0
2016,850000,1,0,0,1,1,0,100.0
2017,10000000,1,0,1,1,2,0,400.0
2011,300000,0,0,0,2,1,3,100.0
2018,575000,1,0,0,1,1,0,75.0
2011,160000,0,0,0,1,1,3,75.0
2015,515000,1,0,0,1,1,1,75.0
2015,390000,1,0,1,2,1,1,75.0
1999,40000,1,0,0,2,1,1,25.0
2010,220000,0,0,0,1,1,3,75.0
2015,425000,1,0,0,1,1,2,75.0
2014,487000,1,0,0,1,1,0,75.0
2016,386000,1,0,0,2,1,1,75.0
2005,100000,1,0,0,2,1,3,100.0
2010,300000,0,0,0,1,1,1,75.0
2000,100000,1,0,0,1,0,1,50.0
2014,1750000,0,0,0,2,1,0,175.0
2016,450000,1,0,0,2,1,0,75.0
2017,490000,0,0,0,1,1,2,75.0
2009,345000,1,0,0,2,1,1,125.0
2005,85000,1,0,0,1,1,2,50.0
2010,215000,1,0,0,2,1,3,75.0
2010,320000,1,0,0,3,1,3,100.0
2016,459999,1,0,0,2,1,1,75.0
2005,65000,1,0,0,1,1,2,75.0
2020,720000,1,0,0,1,1,0,75.0
2017,800000,0,0,0,1,1,1,100.0
2019,520000,1,0,0,1,1,0,75.0
2015,580000,0,0,0,1,1,2,100.0
2015,600000,1,0,0,1,1,1,125.0
2014,290000,1,0,0,2,1,1,75.0
2016,360000,2,0,0,1,1,1,50.0
2017,550000,1,0,0,1,1,1,75.0
2013,375000,1,0,0,1,1,2,75.0
2018,420000,1,0,1,1,1,0,75.0
2017,550000,1,0,0,1,1,0,75.0
2018,270000,1,0,0,1,1,0,50.0
2018,700000,1,0,1,1,1,0,75.0
2017,500000,1,0,0,1,1,0,75.0
2013,320000,1,0,0,2,1,0,75.0
2018,700000,0,0,0,1,1,1,75.0
2015,290000,1,0,0,1,1,1,75.0
2012,550000,1,0,1,1,1,3,150.0
2012,265000,1,0,0,1,1,1,75.0
2018,830000,1,0,1,1,1,0,75.0
2017,800000,0,0,0,1,1,1,150.0
2011,160000,1,0,0,2,1,0,50.0
2018,335000,1,0,0,1,1,0,50.0
2017,329000,1,0,0,2,0,2,75.0
2017,775000,0,0,0,1,1,2,100.0
2020,524000,1,0,0,1,1,0,75.0
2015,245000,1,0,0,1,1,1,50.0
2012,275000,1,0,0,2,1,2,75.0
2018,520000,1,0,0,1,1,1,100.0
2018,910000,1,0,0,1,1,0,125.0
2015,300000,1,0,0,1,1,2,75.0
2016,350000,1,0,0,1,1,3,75.0
2013,900000,0,0,0,1,1,2,150.0
2013,300000,0,0,0,2,1,3,100.0
2010,250000,0,0,0,2,1,3,75.0
2017,1100000,0,0,0,1,1,1,125.0
2016,270000,1,0,0,1,1,1,50.0
2015,640000,0,0,0,1,1,2,100.0
2015,650000,0,0,0,1,1,3,150.0
2017,409999,1,0,0,1,1,0,75.0
2011,165000,1,0,0,1,1,2,50.0
2007,80000,1,0,0,2,1,3,100.0
2012,535000,0,0,0,1,1,3,150.0
2013,550000,0,0,0,1,1,2,75.0
2019,680000,1,0,1,1,1,0,100.0
2009,200000,1,0,0,2,1,1,75.0
2014,500000,0,0,0,2,1,3,75.0
2016,1000000,0,0,0,1,1,2,100.0
2008,110000,1,0,0,2,1,3,75.0
2012,320000,1,0,0,2,1,3,75.0
2015,350000,1,0,0,1,1,3,75.0
2017,800000,0,0,0,1,1,1,100.0
2017,500000,0,0,0,1,1,2,75.0
2017,1380000,0,0,1,1,1,1,150.0
2019,1300000,0,0,0,1,1,1,125.0
2013,530000,0,0,0,1,1,2,125.0
2012,360000,0,0,0,1,1,3,75.0
2012,310000,0,0,0,1,1,3,75.0
2015,725000,0,0,0,2,1,1,100.0
2012,340000,0,0,0,1,1,3,75.0
2017,550000,0,0,0,2,1,0,75.0
2011,1150000,0,0,0,2,1,3,175.0
2016,380000,0,0,0,1,1,2,75.0
2013,350000,1,0,1,2,1,2,100.0
2019,610000,1,0,0,1,1,0,75.0
2015,525000,1,0,0,1,1,0,75.0
2017,780000,0,0,0,1,1,0,100.0
2012,320000,0,0,0,1,1,3,75.0
2014,375000,1,0,0,1,1,2,75.0
2019,300000,1,0,0,1,0,1,75.0
2015,500000,0,0,0,4,1,2,100.0
2011,404000,0,0,0,1,1,3,125.0
2017,350000,0,0,0,1,1,3,75.0
2015,380000,1,0,0,1,1,1,100.0
2008,114999,1,0,0,3,1,2,100.0
2014,335000,1,1,0,1,1,0,75.0
2015,465000,1,1,1,1,1,1,75.0
2012,290000,0,0,0,1,1,1,100.0
2005,110000,1,0,0,2,1,1,50.0
2011,450000,0,0,0,3,1,2,150.0
2007,210000,0,0,0,2,1,3,75.0
2018,4600000,0,0,1,1,2,0,175.0
2016,220000,1,0,0,1,1,0,25.0
2017,450000,1,0,0,1,1,0,75.0
2013,290000,1,0,1,1,1,1,75.0
2016,520000,1,0,0,1,1,0,75.0
2011,265000,1,0,1,1,1,0,75.0
2012,330000,1,0,0,2,1,1,75.0
2014,509999,0,0,0,1,1,3,50.0
2014,500000,1,0,0,1,1,2,125.0
2015,525000,1,0,0,1,1,1,75.0
2019,675000,1,0,0,1,1,0,75.0
2010,300000,1,0,0,1,1,2,75.0
2005,90000,1,0,0,2,1,3,50.0
2017,650000,0,0,0,1,1,0,75.0
2014,409000,1,0,0,2,1,2,75.0
2014,400000,1,0,0,2,1,2,75.0
2012,120000,1,0,0,3,0,1,75.0
2018,645000,1,0,1,1,1,0,75.0
2006,81000,1,0,0,1,1,2,25.0
2017,1300000,0,0,0,1,1,0,100.0
2017,1250000,0,0,0,1,1,0,100.0
2013,535000,1,0,0,3,1,2,100.0
2014,555000,0,0,0,2,1,2,100.0
2014,725000,1,0,0,1,1,3,125.0
2013,800000,0,0,0,2,1,3,100.0
2017,409999,1,0,0,1,1,1,75.0
2018,1210000,0,0,0,1,1,0,100.0
2017,400000,1,0,0,1,1,0,75.0
2018,520000,0,0,0,1,1,0,75.0
2016,650000,1,0,1,1,1,1,75.0
2011,325000,1,0,0,3,1,1,100.0
2012,420000,1,0,1,1,1,3,75.0
2010,254999,1,0,0,4,1,2,75.0
2003,65000,1,0,0,4,1,1,50.0
2017,351000,1,0,0,1,1,1,75.0
2007,404000,0,0,0,3,1,3,100.0
2011,185000,0,0,0,3,1,3,75.0
2011,250000,0,0,0,1,1,1,75.0
2002,60000,1,0,0,4,1,3,50.0
2013,500000,1,0,0,2,1,1,125.0
2007,85000,1,0,0,2,1,2,75.0
2005,85000,1,0,0,4,1,2,50.0
2011,265000,0,0,0,4,1,2,75.0
2010,130000,1,0,0,2,1,3,75.0
2013,480000,0,0,0,3,1,3,100.0
2008,170000,0,0,0,3,1,3,75.0
2011,275000,0,0,0,1,1,1,75.0
2005,89000,1,0,0,2,1,2,75.0
2010,170000,0,0,0,2,1,2,75.0
2019,1090000,1,1,0,1,1,0,100.0
2017,1100000,0,0,1,1,1,2,125.0
2018,610000,1,1,0,1,1,1,75.0
2016,335000,1,1,0,1,0,1,75.0
2015,434999,1,1,0,1,1,1,75.0
2018,3000000,0,0,0,1,1,0,175.0
2018,390000,1,1,0,1,1,0,50.0
2012,325000,1,1,0,1,1,1,75.0
2019,640000,1,1,0,1,1,0,75.0
2012,450000,1,1,0,1,1,0,100.0
2009,215000,1,1,0,1,1,1,75.0
2014,570000,0,1,0,1,1,1,75.0
2012,680000,0,1,0,1,1,2,150.0
2008,325000,0,0,0,4,1,2,100.0
2011,150000,1,0,0,2,1,1,75.0
2013,690000,1,1,1,1,1,2,150.0
2013,1550000,0,0,1,1,2,0,175.0
2012,64000,1,1,0,1,1,0,50.0
2013,250000,0,0,0,1,1,3,75.0
2005,65000,1,0,0,1,1,0,75.0
2016,550000,0,0,0,2,1,1,75.0
2016,300000,1,0,0,1,1,0,50.0
2016,800000,1,0,1,1,1,2,200.0
2015,503000,0,0,0,1,1,3,150.0
2019,3800000,0,0,1,1,2,0,200.0
2016,2000000,1,1,1,1,1,2,150.0
2013,225000,1,1,0,1,1,1,75.0
2018,740000,0,1,0,1,1,1,75.0
2016,550000,1,1,0,1,1,1,100.0
2013,750000,0,1,0,2,1,2,100.0
2019,650000,1,1,1,1,1,0,75.0
2017,625000,1,1,0,1,1,0,100.0
2018,600000,1,1,1,1,1,2,75.0
2017,450000,0,1,0,1,1,1,75.0
2019,5400000,0,1,1,1,2,0,200.0
2019,5500000,0,1,1,1,2,0,200.0
2019,779000,1,1,1,1,1,0,100.0
2018,2475000,0,1,1,1,2,0,150.0
2010,150000,1,0,0,3,1,3,75.0
2009,500000,1,0,1,2,1,3,150.0
2015,480000,0,0,0,1,1,2,75.0
2014,535000,0,0,0,3,1,2,125.0
2005,250000,0,0,0,3,1,3,100.0
2012,300000,0,0,0,2,1,3,100.0
2009,340000,1,0,0,2,1,3,100.0
2009,340000,0,0,0,2,1,3,100.0
2016,240000,1,0,0,1,1,1,50.0
2018,1085000,1,0,1,1,1,0,125.0
2017,750000,0,0,1,1,1,0,75.0
2012,95000,0,0,0,2,1,3,75.0
2020,409999,2,0,0,1,1,0,50.0
2014,215000,1,0,0,2,1,2,75.0
2016,1290000,0,0,1,1,1,1,150.0
2010,150000,1,0,0,1,1,2,75.0
2013,219000,1,0,0,2,1,1,50.0
2018,325000,1,0,0,1,1,3,75.0
2013,260000,1,0,0,2,1,3,75.0
2019,700000,0,0,1,1,1,1,75.0
2010,160000,1,0,0,2,1,2,50.0
2015,840000,0,0,0,2,1,3,100.0
2013,450000,0,0,0,1,1,2,75.0
2017,900000,0,0,0,1,1,1,75.0
2008,570000,0,0,0,2,1,3,100.0
2011,254999,0,0,0,2,1,3,75.0
2009,130000,1,0,0,1,1,1,25.0
2013,530000,0,0,0,2,1,3,75.0
2015,520000,0,0,0,2,1,3,100.0
2011,229999,0,0,0,2,1,3,75.0
2004,81000,1,0,0,2,1,2,25.0
2016,600000,0,0,0,1,1,1,75.0
2015,409999,1,0,0,1,1,2,75.0
2010,120000,1,0,0,2,1,2,25.0
2014,320000,1,0,0,1,1,1,75.0
2015,292000,0,0,0,1,1,2,75.0
2012,390000,0,0,0,1,1,2,150.0
2016,550000,1,0,0,1,1,1,75.0
2014,385000,1,0,0,1,1,0,75.0
2016,800000,1,0,0,1,1,0,125.0
2019,675000,1,0,0,1,1,0,75.0
2018,1525000,0,0,0,1,1,1,150.0
2018,950000,0,0,0,1,1,0,100.0
2015,610000,0,0,0,2,1,1,100.0
2012,525000,0,0,0,1,1,3,100.0
2015,375000,0,0,0,1,1,2,50.0
2015,580000,0,0,0,1,1,2,75.0
2015,434999,1,0,0,2,1,1,75.0
2020,350000,1,0,0,1,0,0,75.0
2012,730000,0,0,0,1,1,3,100.0
2015,600000,1,0,0,1,1,0,75.0
2015,1050000,0,0,0,1,1,3,100.0
2017,735000,0,0,0,1,1,2,75.0
2018,1050000,0,1,0,1,1,0,100.0
2016,420000,0,0,0,2,0,3,75.0
2017,800000,0,0,0,1,1,1,100.0
2015,2000000,0,0,1,1,1,1,175.0
2016,600000,0,0,0,2,1,3,75.0
2011,500000,0,0,0,3,0,3,150.0
2011,200000,0,0,0,2,1,3,75.0
2010,260000,0,0,0,2,1,3,100.0
2016,280000,0,0,0,1,1,3,75.0
2014,610000,1,0,0,1,1,0,100.0
2013,300000,0,0,0,2,1,1,100.0
2010,140000,0,0,0,1,1,1,75.0
2008,229999,1,0,0,1,1,1,75.0
2010,200000,1,0,0,2,1,2,75.0
2011,200000,1,0,0,1,1,2,75.0
2015,560000,0,0,0,1,1,3,125.0
2017,585000,0,0,0,1,1,2,75.0
2016,760000,1,0,0,1,1,0,125.0
2014,430000,0,0,0,2,1,2,75.0
2020,480000,0,0,0,1,1,1,75.0
2019,643000,0,0,0,1,1,0,125.0
2018,500000,1,0,0,1,1,1,75.0
2016,425000,1,0,0,1,1,0,75.0
2014,250000,1,0,0,1,1,0,50.0
2016,285000,0,0,0,1,1,2,50.0
2008,160000,1,0,0,3,1,3,75.0
2011,250000,0,0,0,2,1,2,100.0
2013,170000,1,0,0,2,0,2,75.0
2013,409999,0,0,0,1,1,1,75.0
2015,400000,1,0,1,1,1,1,75.0
2019,700000,0,0,0,1,1,0,75.0
2007,350000,1,0,1,1,1,2,125.0
2016,660000,1,0,0,2,1,0,100.0
2017,268000,1,0,0,1,1,0,50.0
2016,270000,1,0,0,1,1,1,50.0
2013,300000,0,0,0,1,0,1,50.0
2012,220000,0,0,0,2,0,2,50.0
2012,300000,1,0,0,2,1,2,75.0
2016,561000,0,0,0,1,1,0,75.0
2018,755000,0,0,0,1,1,0,75.0
2017,235000,1,0,0,1,0,0,50.0
2011,165000,1,0,0,1,1,2,75.0
2008,190000,0,0,0,2,1,2,75.0
2011,110000,0,0,0,1,1,1,50.0
2012,320000,0,0,0,2,1,2,75.0
2016,540000,1,0,0,1,1,1,75.0
2013,180000,1,0,0,1,1,1,50.0
2012,450000,1,0,0,1,1,0,75.0
2014,450000,1,0,0,1,1,0,75.0
2015,200000,1,0,0,1,0,1,75.0
2017,425000,1,0,0,1,1,1,75.0
2016,400000,1,0,0,1,0,0,75.0
2009,125000,1,0,0,3,1,1,50.0
2018,1600000,0,0,0,1,1,0,175.0
2015,900000,1,0,0,1,1,0,125.0
2012,450000,0,0,0,1,1,2,100.0
2011,210000,1,0,0,1,1,1,75.0
2018,801000,1,0,0,1,1,0,75.0
2014,317000,0,0,0,1,1,0,75.0
2014,330000,1,0,0,2,1,0,75.0
2017,320000,1,0,0,2,1,0,50.0
2007,120000,1,0,0,2,1,3,75.0
2009,130000,1,0,0,2,1,2,50.0
2015,220000,1,0,0,1,0,2,75.0
2015,340000,1,0,0,1,1,3,100.0
2013,200000,0,0,0,2,1,2,75.0
2002,140000,1,0,0,2,1,1,50.0
2013,1000000,0,0,0,1,1,3,100.0
2010,495000,0,0,0,2,1,3,75.0
2015,236000,1,0,0,1,1,1,50.0
2015,390000,1,0,0,1,1,1,75.0
2017,775000,0,1,0,1,1,0,100.0
2016,1800000,0,0,1,1,1,0,175.0
2016,850000,0,0,0,1,1,1,125.0
2018,750000,0,0,0,1,1,0,100.0
2018,570000,1,0,0,1,1,0,75.0
2018,580000,1,0,0,1,1,0,75.0
2016,484999,1,0,0,1,1,0,100.0
2017,700000,1,1,0,1,1,1,125.0
2012,415000,1,1,0,1,1,1,125.0
2015,325000,1,0,1,1,1,1,75.0
2017,300000,1,0,0,1,1,0,50.0
2018,217000,1,0,0,1,0,0,50.0
2018,700000,1,0,0,1,1,0,100.0
2019,466000,1,0,1,4,1,0,75.0
2014,484999,0,1,0,1,1,1,100.0
2018,670000,0,0,0,1,1,0,75.0
2018,500000,1,0,0,2,1,0,75.0
2016,675000,0,0,0,1,1,1,100.0
2011,220000,0,0,0,2,1,3,100.0
2017,1650000,0,0,0,1,1,1,175.0
2013,630000,0,0,0,2,1,3,100.0
2010,250000,0,0,0,2,1,2,100.0
2004,120000,1,0,0,3,1,3,75.0
2015,300000,0,0,0,2,1,3,100.0
2013,525000,0,0,1,1,1,2,125.0
2016,1100000,0,0,0,1,1,3,125.0
2012,480000,0,0,0,2,1,1,100.0
2014,605000,0,0,0,2,1,2,150.0
2016,250000,1,0,0,2,1,1,50.0
2013,245000,0,0,0,2,1,2,75.0
2012,210000,1,0,0,4,1,2,75.0
2020,730000,1,0,0,1,1,0,75.0
2012,500000,0,0,0,1,1,2,50.0
2015,400000,1,0,0,1,1,1,75.0
2015,280000,1,0,0,2,1,1,50.0
2009,561000,0,0,0,3,1,3,100.0
2013,950000,0,1,0,1,1,3,175.0
2016,375000,0,1,0,1,0,1,50.0
2017,700000,0,1,0,1,1,1,100.0
2012,375000,1,1,0,2,1,0,100.0
2012,270000,1,1,0,2,1,1,50.0
2016,300000,1,1,0,1,1,2,50.0
2010,225000,1,1,0,1,1,1,75.0
2015,1350000,0,1,0,1,1,2,100.0
2010,200000,1,1,0,1,1,2,75.0
2011,400000,0,1,0,1,1,3,125.0
2013,500000,0,1,0,1,1,3,100.0
2015,500000,1,1,0,1,1,3,75.0
2013,1500000,0,1,0,1,1,3,175.0
2015,555000,1,0,0,2,1,0,100.0
2011,337000,0,0,0,3,1,3,150.0
2011,175000,0,0,0,1,1,0,75.0
2009,180000,0,0,0,2,1,3,100.0
2011,200000,1,0,0,1,1,2,75.0
2016,350000,1,0,0,1,1,0,75.0
2011,409999,0,0,0,2,1,1,75.0
2017,655000,0,0,0,1,1,3,100.0
2015,370000,0,0,0,1,1,3,75.0
2013,200000,1,0,0,1,1,0,50.0
2017,800000,0,0,0,2,1,3,100.0
2019,550000,1,0,0,1,1,0,75.0
2012,300000,0,0,0,2,1,2,75.0
2017,220000,1,0,0,1,1,1,25.0
2011,196000,1,0,0,1,1,3,75.0
2008,135000,1,0,0,2,1,2,75.0
2015,299000,1,0,0,1,1,0,100.0
2017,300000,1,0,0,1,1,0,75.0
2017,720000,0,0,0,1,1,2,100.0
2016,650000,0,0,0,3,1,1,150.0
2016,300000,1,0,0,1,1,0,75.0
2019,750000,0,0,0,1,1,0,75.0
2016,260000,1,0,0,1,1,1,50.0
2011,300000,0,0,0,2,1,2,75.0
2014,600000,0,0,0,2,1,1,50.0
2004,275000,1,0,1,2,1,3,225.0
2015,250000,1,0,0,1,1,1,75.0
2014,420000,0,0,0,1,1,2,75.0
2015,235000,1,0,0,1,1,1,50.0
2016,1100000,0,0,0,1,1,1,125.0
2019,360000,1,0,0,1,1,0,75.0
2014,380000,0,0,0,2,1,1,75.0
2016,650000,0,0,0,1,1,3,100.0
2016,350000,1,0,0,1,1,2,75.0
2010,270000,0,0,0,3,1,2,100.0
2017,450000,0,0,0,1,1,1,75.0
2016,630000,0,0,0,1,1,3,100.0
2010,229999,0,0,0,1,1,3,100.0
2011,270000,1,0,0,1,1,1,75.0
2009,135000,1,0,0,2,1,0,75.0
2012,275000,1,0,0,1,1,0,75.0
2015,634000,0,0,0,1,1,3,100.0
2012,235000,1,0,0,2,1,2,75.0
2008,275000,1,0,0,3,1,2,75.0
2014,700000,0,0,0,2,1,1,100.0
2012,215000,1,0,0,3,1,2,50.0
2009,150000,0,0,0,2,1,3,100.0
2018,950000,0,0,0,1,1,2,100.0
2015,730000,0,0,0,1,1,3,100.0
2012,135000,0,0,0,2,1,3,75.0
2016,350000,1,0,0,2,1,2,75.0
2018,535000,1,0,0,2,1,0,75.0
2018,455000,1,0,0,2,1,3,75.0
2019,655000,1,0,0,1,1,0,75.0
2019,800000,0,0,0,3,1,0,100.0
2018,1100000,1,0,1,1,1,0,100.0
2016,3000000,0,0,1,1,2,1,200.0
2012,1225000,0,0,1,1,1,3,175.0
2018,340000,1,0,0,1,1,1,75.0
2011,300000,0,0,0,2,1,2,100.0
2016,370000,1,0,0,1,1,1,75.0
2013,330000,0,0,0,2,1,3,50.0
2014,238000,1,0,0,1,1,1,50.0
2013,200000,1,0,0,1,1,2,50.0
2014,320000,0,0,0,4,1,2,75.0
2009,114999,1,0,0,4,1,2,50.0
2015,320000,1,0,0,2,1,1,75.0
2010,210000,1,0,0,1,1,0,75.0
2011,200000,0,0,0,1,1,3,100.0
2009,135000,1,0,0,2,1,3,75.0
2015,350000,0,0,0,1,1,1,75.0
2014,350000,0,0,0,2,1,3,75.0
2017,680000,0,0,0,1,1,1,75.0
2010,200000,0,0,0,2,1,3,75.0
2016,300000,1,0,0,1,1,1,75.0
2011,270000,0,0,0,2,1,2,100.0
2012,225000,1,0,0,2,1,2,75.0
2008,250000,0,0,0,1,1,3,75.0
2015,590000,0,0,0,2,1,1,100.0
2015,290000,1,0,0,1,1,0,50.0
2010,100000,1,0,0,2,1,3,75.0
2016,395000,1,0,0,1,1,1,75.0
2014,195000,1,0,0,2,1,2,50.0
2011,45000,1,0,0,3,1,0,25.0
2009,270000,0,0,0,2,1,2,75.0
2014,600000,0,0,0,2,0,2,75.0
2015,715000,0,0,0,1,1,1,100.0
2019,600000,1,0,0,1,1,0,75.0
2019,875000,0,0,0,1,1,0,100.0
2011,420000,0,0,0,2,1,3,125.0
2007,325000,1,0,1,2,1,2,150.0
2017,385000,1,0,0,1,0,0,75.0
2016,300000,1,0,0,1,1,1,75.0
2014,300000,1,0,0,1,1,0,75.0
2004,80000,1,0,0,2,1,3,100.0
2012,400000,0,0,0,1,1,3,50.0
2012,168000,0,0,0,2,1,3,75.0
2016,550000,0,0,0,1,1,3,50.0
2011,320000,0,0,0,3,1,3,75.0
2011,320000,0,0,0,3,1,3,75.0
2013,280000,0,0,0,1,1,2,100.0
2017,550000,0,0,0,2,1,2,75.0
2018,500000,1,0,0,1,1,0,75.0
2019,700000,1,0,0,1,1,0,100.0
2013,380000,0,0,0,2,1,2,100.0
2012,340000,0,0,0,2,1,3,75.0
2007,160000,0,0,0,3,1,3,75.0
2014,750000,0,0,0,1,1,1,100.0
2018,531000,1,0,1,1,1,0,75.0
2017,300000,1,0,0,1,1,0,75.0
2014,350000,0,0,0,2,1,1,100.0
