year,selling_price,fuel,seller_type,transmission,owner,brand,km_dr_gr
2013,110000,1,0,0,0,0,0
2015,110000,1,0,0,0,0,0
2015,110000,1,0,0,0,0,0
2013,105000,1,0,0,0,0,0
2016,105000,1,0,0,0,0,0
2011,105000,1,0,0,0,0,0
2016,105000,1,0,0,0,0,0
2013,100000,1,0,0,0,0,1
2012,95000,1,0,0,0,0,0
2009,90000,1,0,0,0,0,1
2017,90000,1,0,0,0,0,0
2016,75000,1,0,0,0,0,0
2017,80000,1,0,0,0,1,0
2017,78000,1,0,0,0,0,0
2017,75000,1,0,0,0,1,0
2015,75000,1,0,0,0,0,0
2017,75000,1,0,0,0,0,0
2016,72000,1,0,0,0,0,0
2017,65000,1,0,0,0,0,0
2015,65000,1,0,0,0,0,0
2013,65000,1,0,0,0,0,0
2016,60000,1,0,0,0,1,0
2015,60000,1,0,0,0,0,0
2013,60000,1,0,0,0,1,0
2016,60000,1,0,0,0,0,0
2015,60000,1,0,0,0,0,0
2016,60000,1,0,0,0,0,0
2014,60000,1,0,0,0,0,0
2012,60000,1,0,0,0,0,0
2014,55000,1,0,0,0,0,0
2015,55000,1,0,0,0,0,1
2010,52000,1,0,0,0,0,1
2016,51000,1,0,0,0,0,0
2011,50000,1,0,0,0,0,0
2016,50000,1,0,0,0,0,0
2012,50000,1,0,0,0,0,0
2013,50000,1,0,0,0,0,1
2014,50000,1,0,0,0,0,0
2017,48000,1,0,1,0,1,0
2017,48000,1,0,0,0,0,0
2015,48000,1,0,0,0,0,0
2017,48000,1,0,0,0,1,0
2017,45000,1,0,1,0,1,0
2011,45000,1,0,0,0,0,0
2014,45000,1,0,0,0,0,0
2012,45000,1,0,0,0,0,0
2010,45000,1,0,0,0,0,0
2016,45000,1,0,0,0,0,0
2016,45000,1,0,1,0,1,0
2016,45000,1,0,0,0,0,0
2014,42000,1,0,0,0,0,1
2013,42000,1,0,0,0,1,0
2015,40000,1,0,0,0,0,0
2012,40000,1,0,0,0,0,0
2015,40000,1,0,0,0,0,0
2014,40000,1,0,0,0,0,0
2017,40000,1,0,1,0,1,0
2011,38000,1,0,0,0,0,2
2011,35000,1,0,0,0,1,0
2016,35000,1,0,1,0,1,0
2014,35000,1,0,1,0,0,0
2010,31000,1,0,0,0,1,3
2012,30000,1,0,0,0,0,1
2016,30000,1,0,0,0,0,1
2013,30000,1,0,0,0,1,0
2013,27000,1,0,0,0,0,0
2008,25000,1,0,0,1,0,0
2008,25000,1,0,1,0,1,0
2013,25000,1,0,0,0,1,0
2013,25000,1,0,0,0,0,0
2005,20000,1,0,0,0,0,1
2008,20000,1,0,0,0,0,1
2012,20000,1,0,0,1,0,0
2007,20000,1,0,0,1,0,1
2013,20000,1,0,0,1,0,0
2008,20000,1,0,0,0,0,1
2015,18000,1,0,0,0,0,0
2008,17000,1,0,1,0,1,3
2010,16000,1,0,0,0,1,0
2011,15000,1,0,0,1,0,0
2007,12000,1,0,0,0,1,1
2006,10000,1,0,0,0,0,2
2010,325000,0,1,0,1,1,1
2015,440000,1,1,0,0,1,0
2011,295000,1,1,0,0,1,1
2015,275000,1,1,0,0,1,0
2016,525000,1,1,0,1,1,0
2017,575000,1,1,0,0,1,0
2017,790000,1,1,0,0,1,0
2012,310000,1,1,0,0,1,1
2015,1175000,0,1,0,0,1,1
2016,1125000,1,1,0,0,1,0
2011,290000,1,1,0,0,1,0
2017,525000,1,1,0,0,1,0
2012,450000,1,1,0,0,1,1
2016,315000,1,1,0,0,1,0
2014,645000,1,1,0,0,1,1
2012,450000,1,1,0,0,1,1
2017,350000,1,1,0,0,1,1
2014,600000,0,1,0,0,1,2
2015,825000,0,1,0,0,1,1
2013,511000,1,1,1,0,1,1
2015,525000,1,1,0,0,1,0
2011,255000,1,1,0,0,1,1
2012,495000,0,1,0,0,1,1
2012,310000,0,1,0,0,1,1
2013,615000,0,1,0,0,1,1
2017,925000,1,1,0,0,1,0
2015,1145000,1,1,1,0,1,0
2013,390000,0,1,0,0,1,1
2015,550000,1,1,0,0,1,0
2017,910000,1,1,0,0,1,0
2016,310000,1,1,0,0,1,0
2015,1125000,0,1,0,0,1,2
2013,480000,1,1,0,0,1,1
2012,200000,1,1,0,0,1,0
2012,535000,0,1,0,0,1,0
2016,625000,1,1,0,0,1,0
2013,595000,0,1,0,0,1,1
2012,520000,0,1,0,0,1,2
2012,375000,1,1,0,0,1,0
2015,595000,1,1,0,0,1,1
2016,525000,1,1,0,0,1,0
2016,1290000,0,1,0,0,1,1
2015,540000,1,1,1,0,1,0
2014,720000,0,1,0,0,1,1
2013,525000,1,1,0,0,1,1
2012,300000,1,1,0,0,1,1
2016,1025000,1,1,0,0,1,1
2015,850000,1,1,0,0,1,1
2015,840000,1,1,0,0,1,0
2014,390000,1,1,0,0,1,1
2016,915000,1,1,0,0,1,0
2016,550000,1,1,0,0,1,0
2015,400000,1,1,0,0,1,1
2016,660000,1,1,0,0,1,0
2017,650000,1,1,0,0,1,0
2014,365000,1,1,0,0,1,0
2016,835000,0,1,0,0,1,0
2017,480000,1,1,0,0,1,0
2015,670000,1,1,0,0,1,0
2011,410000,1,1,0,0,1,2
2009,300000,1,1,0,0,1,2
2015,750000,1,1,0,0,1,0
2010,225000,1,1,0,0,1,1
2016,1090000,1,1,1,0,1,0
2015,865000,1,1,0,0,1,0
2015,970000,1,1,0,0,1,0
2014,625000,1,1,0,0,1,1
2015,525000,1,1,0,0,1,0
2006,210000,1,1,0,0,1,1
2014,825000,0,1,0,0,1,1
2016,899000,1,1,0,0,1,0
2013,350000,1,1,0,0,1,0
2016,740000,1,1,1,0,1,0
2016,565000,1,1,0,0,1,0
2015,575000,1,1,1,0,1,1
2015,840000,1,1,0,0,1,0
2016,1011000,1,1,0,0,1,0
2014,450000,1,1,0,0,1,0
2015,540000,1,1,0,0,1,0
2016,640000,1,1,0,0,1,0
2010,325000,1,1,0,0,1,1
2014,375000,1,1,0,0,1,0
2015,855000,0,1,0,0,1,1
2016,950000,0,1,0,0,1,0
2015,400000,1,1,0,0,1,1
2009,335000,1,1,0,0,1,2
2017,1150000,0,1,0,0,1,0
2016,530000,1,1,0,0,1,0
2007,60000,1,0,0,1,1,2
2007,135000,1,0,0,1,1,1
2017,250000,1,0,0,1,0,1
2014,450000,0,0,0,2,1,3
2007,140000,1,0,0,1,1,3
2014,240000,1,0,0,2,1,1
2015,850000,1,0,0,1,1,0
2017,365000,2,0,0,1,1,2
2015,260000,1,0,0,1,0,0
2014,250000,1,0,0,1,1,3
2018,1650000,1,1,1,1,1,0
2012,600000,0,0,0,1,1,3
2016,550000,1,0,0,1,1,0
2015,585000,1,1,0,1,1,0
2019,1195000,0,1,0,1,1,0
2013,390000,0,0,0,2,0,0
2014,1964999,0,1,1,1,2,0
2013,1425000,0,1,1,1,2,1
2018,975000,0,1,1,1,1,0
2011,1190000,0,1,1,1,2,3
2018,930000,1,1,0,1,1,0
2018,525000,1,0,0,1,1,0
2013,1735000,0,1,1,1,2,1
2012,1375000,0,1,1,2,2,0
2011,450000,0,1,1,2,1,3
2016,900000,1,0,1,1,1,1
2015,1300000,0,0,0,1,1,2
2019,1400000,1,0,0,1,1,0
2010,850000,1,1,1,1,2,3
2014,229999,1,0,0,4,1,1
2013,1550000,0,1,1,2,2,2
2009,1250000,0,1,1,3,2,2
2012,625000,0,0,0,1,1,1
2014,1050000,0,0,0,1,1,1
2014,560000,0,0,0,2,1,2
2014,290000,1,0,0,2,1,2
2012,275000,1,0,0,2,1,1
2009,411000,0,0,0,2,1,3
2009,150000,1,0,0,3,1,2
2019,500000,1,0,0,1,1,0
2006,100000,1,0,0,1,1,2
2017,725000,0,1,0,1,1,0
2018,401000,1,1,0,1,1,0
2018,750000,0,1,0,1,1,0
2018,310000,1,1,0,1,1,0
2016,665000,0,1,0,1,1,1
2014,465000,0,1,0,1,1,2
1996,250000,0,0,0,2,1,0
2014,675000,0,1,0,1,1,2
2013,300000,1,1,0,1,1,2
2005,70000,0,0,0,1,1,2
2014,240000,1,1,0,2,1,2
2014,525000,0,1,0,1,1,2
2009,151000,1,1,0,2,1,2
2009,140000,1,0,0,1,1,3
2010,280000,0,0,0,2,0,3
2011,350000,0,0,0,1,1,3
2018,300000,1,0,0,1,1,0
2007,100000,0,0,0,1,1,1
2009,500000,0,0,0,3,1,3
2006,130000,1,0,0,3,1,3
2017,925000,0,0,0,1,1,0
2018,750000,0,0,0,1,1,1
2007,200000,1,0,1,2,1,1
2010,248000,1,0,0,2,1,1
2014,450000,0,0,0,2,1,3
2005,80000,1,0,0,3,1,3
2014,650000,1,0,0,2,1,2
2015,450000,0,0,0,1,1,2
2019,650000,0,0,0,1,1,0
2016,495000,1,1,0,1,1,0
2015,371000,1,1,0,1,1,0
2017,1025000,1,1,0,1,1,0
2017,8150000,0,1,1,1,2,0
2015,750000,0,0,0,1,1,2
2007,80000,1,1,0,2,1,1
2013,325000,0,1,0,1,1,1
2014,1470000,0,1,1,2,2,0
2015,350000,0,0,0,2,0,1
2013,2800000,0,1,1,1,2,1
2017,210000,1,1,0,2,0,0
2013,450000,1,0,0,1,1,1
2009,210000,1,1,1,1,1,1
2018,4500000,1,1,1,1,2,0
2018,1975000,0,1,1,1,2,0
2008,175000,1,1,0,1,1,0
2012,2500000,0,1,1,1,2,1
2017,628000,0,0,0,1,1,3
2010,600000,0,0,0,1,1,3
2017,399000,1,0,0,1,1,0
2018,750000,0,0,0,1,1,2
2019,750000,1,0,0,1,1,0
2017,315000,1,0,0,1,1,0
2012,600000,0,0,0,1,1,1
2010,100000,1,0,0,4,1,1
2011,250000,1,0,0,3,1,3
2017,350000,1,0,0,1,1,0
2016,780000,0,0,0,1,1,1
2014,434000,0,0,0,2,1,2
2016,690000,1,0,1,1,1,2
2014,555000,0,0,0,2,1,2
2013,165000,0,0,0,2,0,1
2004,95000,1,0,0,1,1,1
2018,550000,1,0,0,1,1,0
2012,100000,1,0,0,2,1,1
2012,500000,0,0,0,1,1,3
2016,800000,0,0,0,2,1,2
2016,840000,0,0,0,2,1,2
2016,490000,1,0,0,1,1,1
2010,125000,0,0,0,2,1,2
2012,400000,0,0,0,3,0,3
2015,1000000,0,1,0,1,0,0
2015,530000,1,1,0,1,1,0
2017,840000,0,1,0,1,1,1
1998,40000,1,0,0,4,1,1
2012,130000,1,0,0,1,0,2
2015,200000,1,0,0,1,1,2
2011,120000,0,0,0,1,1,2
2003,75000,1,0,0,1,1,1
2005,100000,1,0,0,1,1,0
2013,280000,1,0,0,2,1,0
2015,540000,1,0,0,1,1,0
2018,700000,1,0,0,1,1,0
2015,525000,0,0,0,1,1,3
2016,430000,0,0,0,1,1,2
2002,65000,1,0,0,1,1,2
2018,800000,0,0,0,1,1,0
2007,75000,1,0,0,2,1,3
2008,210000,1,0,0,1,1,1
2012,195000,0,0,0,2,1,3
2015,400000,0,0,0,1,0,3
2012,170000,1,0,0,1,1,1
2016,225000,1,0,0,1,1,0
2014,210000,2,0,0,1,1,2
2020,240000,1,0,0,1,1,3
2015,300000,0,0,0,1,0,3
2011,99000,1,0,0,3,0,3
2014,620000,1,0,0,1,1,1
2013,500000,0,0,0,1,1,0
2010,2550000,1,0,1,2,2,1
2013,260000,1,0,0,2,1,2
2017,550000,1,0,0,1,1,1
2011,150000,0,0,0,1,1,3
2011,350000,1,0,1,2,1,1
2016,320000,1,0,0,1,0,1
2015,400000,0,0,0,3,1,3
2012,175000,1,0,0,3,1,2
2011,120000,1,0,0,2,0,2
2013,320000,0,0,0,2,1,2
2006,70000,1,0,0,3,1,3
2019,810000,1,0,0,1,1,0
2007,95000,1,0,0,2,1,3
2020,282000,2,0,0,1,1,1
2004,80000,1,0,0,2,1,1
2013,72000,1,0,0,1,1,0
2016,600000,1,0,0,1,1,0
2015,640000,1,0,0,1,1,0
2018,380000,1,0,0,1,1,0
2018,650000,1,0,0,1,1,2
2009,150000,1,0,0,2,1,1
2009,280000,1,0,0,2,1,3
2018,430000,1,0,0,1,1,0
2019,800000,0,0,0,1,1,0
2003,75000,0,0,0,2,1,3
2017,390000,1,0,0,1,1,0
2005,100000,1,0,0,2,1,3
2013,1500000,0,0,1,1,2,0
2007,175000,1,0,0,1,1,2
2012,434999,0,0,0,2,1,3
2010,170000,0,0,0,3,1,2
2011,190000,0,0,0,3,1,2
2009,250000,0,0,0,3,1,3
2009,229999,0,0,0,3,1,3
2006,140000,1,0,0,3,1,2
2012,280000,1,0,0,3,1,3
2012,150000,0,0,0,1,0,1
2015,650000,0,0,1,1,0,1
2014,210000,1,0,0,2,1,1
2017,2900000,0,0,1,1,2,1
2013,425000,0,1,0,1,0,0
2014,265000,1,1,0,1,1,1
2013,365000,1,1,0,1,1,1
2014,350000,1,1,0,1,1,1
2016,685000,0,0,0,1,1,1
2018,940000,0,1,0,1,1,0
2017,1000000,0,0,0,1,1,1
2016,450000,0,0,0,2,1,3
2017,800000,0,0,0,1,1,1
2012,385000,0,1,0,1,1,1
2013,2000000,0,0,1,1,2,0
2012,235000,1,1,0,1,1,1
2017,640000,0,1,0,1,1,1
2006,52000,1,0,0,3,1,3
2009,80000,2,0,0,2,1,2
2008,120000,1,0,0,2,1,2
2008,89999,0,0,0,1,1,3
2012,180000,0,0,0,1,0,3
2012,285000,0,0,0,2,1,2
2015,390000,1,0,0,1,1,2
2008,125000,1,0,0,1,1,2
2008,225000,1,0,0,2,1,1
2011,175000,1,0,0,2,1,3
2011,1075000,0,0,0,2,1,3
2014,300000,0,0,0,1,1,3
2010,700000,0,0,0,4,1,3
2009,90000,0,1,0,1,1,3
2011,120000,0,0,0,2,1,3
2012,220000,0,0,0,2,0,3
2015,300000,0,1,0,1,1,3
2010,180000,0,1,0,2,1,2
2013,170000,1,0,0,1,1,2
2015,300000,1,0,0,2,1,1
2014,1050000,0,0,0,1,1,2
2018,465000,0,0,0,1,1,0
2011,130000,0,0,0,2,0,2
2018,500000,1,0,0,1,1,0
2018,200000,1,0,0,1,1,0
2017,625000,1,1,0,1,1,1
2006,110000,0,0,0,3,1,3
2019,800000,1,0,0,1,1,0
2017,490000,0,1,0,1,1,2
2017,880000,0,1,0,1,1,2
2013,290000,1,0,0,1,1,1
2006,115999,0,0,0,2,1,3
2018,360000,1,0,0,1,1,0
2002,65000,1,0,0,2,1,3
2017,685000,0,1,0,1,1,2
2009,300000,1,0,0,1,1,1
2017,680000,0,1,0,1,1,1
2017,1000000,0,0,0,2,1,1
2002,100000,0,0,0,1,1,3
2010,160000,0,0,0,1,1,3
2014,600000,1,0,0,1,1,0
2009,180000,0,0,0,2,1,1
2007,100000,1,0,0,1,1,3
2010,120000,1,0,0,2,1,2
2006,130000,1,0,0,3,1,2
2011,160000,1,0,0,1,1,3
2019,860000,0,0,0,1,1,0
2018,650000,1,0,0,2,1,0
2010,100000,1,0,0,2,1,2
2009,300000,1,0,0,1,1,1
2010,270000,1,0,0,2,1,3
2013,550000,0,0,0,1,1,0
2013,450000,0,0,0,1,1,3
2011,430000,0,0,0,2,1,2
2013,350000,1,0,0,1,1,1
2017,350000,1,0,0,1,1,0
2013,229999,1,0,0,2,1,1
2013,110000,1,0,0,1,1,1
2012,395000,1,0,0,2,1,1
2011,650000,0,0,1,2,1,2
2011,350000,0,0,0,2,1,2
2020,1400000,0,1,0,1,1,0
2018,360000,1,0,0,1,1,0
2018,1300000,0,0,0,1,1,0
2018,229999,1,0,0,1,1,0
2014,315000,1,1,0,1,1,1
2012,125000,1,0,0,1,0,0
2019,700000,1,0,0,1,1,0
2015,160000,1,0,0,1,1,2
2017,530000,1,1,0,1,1,0
2018,624000,0,1,0,1,1,0
2009,250000,1,0,0,1,1,1
2016,585000,0,1,0,1,1,1
2015,500000,1,0,0,1,1,0
2014,350000,1,0,0,1,0,0
2014,495000,0,1,0,1,1,2
2017,500000,1,0,0,1,1,1
2015,430000,0,0,0,1,1,3
2013,345000,1,1,0,1,1,1
2015,500000,1,0,0,1,1,0
2019,425000,1,0,0,1,1,0
2005,80000,1,0,0,2,1,1
2011,106000,0,0,0,1,0,1
2009,180000,1,0,0,1,1,1
2015,250000,1,0,0,2,0,1
2011,350000,0,0,0,1,1,2
2002,60000,1,0,0,2,1,2
2018,900000,0,0,0,1,1,0
2017,700000,0,1,0,1,1,0
2013,2000000,0,1,1,1,2,3
2011,1375000,0,0,1,1,2,1
2016,1800000,0,1,0,1,1,3
2007,160000,0,0,0,3,0,3
2012,525000,1,0,1,1,1,3
2012,850000,0,1,0,1,1,3
2019,800000,0,0,0,1,1,0
2017,700000,0,1,0,1,1,2
2018,800000,0,0,0,1,1,0
2017,575000,1,0,0,2,1,0
2012,350000,0,0,0,2,1,3
2007,370000,0,0,0,3,1,3
2006,80000,1,0,0,3,1,3
2003,50000,0,0,0,2,1,3
2014,300000,1,0,0,2,1,0
2002,125000,1,0,0,1,1,1
2015,490000,0,0,0,2,1,1
2012,300000,0,0,0,2,1,1
2013,55000,1,0,0,4,1,0
2016,350000,1,0,0,1,1,0
2019,755000,0,0,0,1,1,0
2017,720000,0,0,0,1,1,1
2006,229999,0,0,0,3,1,3
2018,1100000,0,0,0,1,1,0
2013,400000,1,0,0,1,1,3
2015,350000,0,0,0,2,1,2
2012,159000,0,1,0,1,0,2
2017,550000,1,1,0,1,1,1
2013,335000,0,1,0,1,1,2
2014,185000,2,1,0,1,1,2
2012,229999,2,1,0,1,1,2
2014,225000,1,1,0,1,1,1
2007,250000,1,0,0,2,1,3
2015,400000,0,0,0,1,1,3
2014,470000,0,0,0,1,1,3
2011,145000,1,0,0,1,1,0
2007,100000,1,0,0,2,1,2
2014,500000,0,0,0,2,1,2
2010,130000,2,0,0,2,1,2
2010,240000,0,0,0,1,0,2
2013,150000,0,0,0,2,1,2
2017,270000,1,0,0,1,1,1
2014,400000,0,0,0,1,1,2
2012,200000,1,0,0,1,1,1
2012,550000,0,0,0,1,1,2
2018,325000,1,0,0,1,1,0
2017,860000,0,0,1,1,1,2
2012,600000,0,0,0,1,1,3
2009,125000,1,0,0,1,0,2
2000,60000,1,0,0,3,1,1
2010,300000,0,0,0,3,0,3
2007,190000,1,0,0,3,1,1
2013,400000,0,0,0,1,1,3
2011,260000,0,0,0,2,1,2
2017,400000,1,0,0,1,1,0
2010,250000,1,0,0,1,1,1
2019,600000,1,0,0,1,1,0
2010,175000,1,0,0,1,1,1
2011,450000,0,0,0,3,1,3
2019,350000,1,0,1,2,1,0
2018,800000,0,0,0,1,1,1
2011,250000,1,0,0,2,1,2
2019,600000,1,0,0,1,1,0
2017,600000,0,0,0,1,1,2
2016,130000,1,0,0,1,1,1
2006,90000,1,0,0,2,1,1
2017,595000,1,0,0,2,1,0
2014,190000,1,0,0,2,1,1
1999,50000,1,0,0,2,1,3
2007,95000,1,0,0,1,1,2
2016,1000000,0,0,0,1,1,2
2006,220000,1,0,0,2,1,3
2010,400000,0,0,0,1,1,1
2015,315000,1,0,0,2,0,1
2014,1000000,0,0,0,1,1,3
2014,500000,0,0,0,1,1,1
2018,1600000,0,0,1,1,1,0
2007,70000,1,0,0,3,1,3
2007,105000,1,0,0,2,1,1
2008,400000,0,0,0,3,1,3
2004,80000,1,0,0,3,1,1
2016,300000,1,0,0,1,1,0
2017,409999,0,0,0,1,1,1
2009,250000,1,0,0,1,1,2
2010,250000,0,0,0,2,1,3
2015,1400000,0,0,0,1,1,3
2018,475000,1,0,0,1,1,0
2018,475000,1,0,0,1,1,0
2008,75000,1,0,0,2,0,0
2013,200000,0,0,0,2,0,3
2019,575000,1,0,0,1,1,0
2011,150000,0,0,0,2,1,1
2018,850000,0,0,0,1,1,0
2019,350000,1,0,0,1,1,0
2011,550000,0,0,0,2,1,1
2017,330000,1,0,0,1,1,2
2017,1044999,0,0,0,1,1,0
2011,300000,0,0,0,2,1,3
2015,235000,1,1,0,1,1,1
2011,120000,1,0,0,3,1,1
2004,275000,0,1,0,2,1,0
2011,270000,0,0,0,2,1,3
2015,500000,0,0,0,2,1,0
2015,400000,1,1,0,1,1,1
2015,600000,1,1,0,1,1,2
2012,1350000,0,0,1,2,2,2
2013,400000,0,1,0,2,1,2
2011,220000,0,0,0,2,1,2
2012,300000,1,1,0,2,1,2
2018,250000,1,0,0,1,1,3
2015,600000,0,0,0,1,1,3
2012,285000,1,0,1,2,1,2
2009,350000,1,1,0,1,1,1
2011,170000,0,0,0,3,1,2
2015,229999,1,0,0,1,1,1
2013,500000,0,1,0,2,1,2
2011,75000,1,0,0,1,1,0
2016,600000,1,0,0,1,1,0
2011,220000,0,0,0,1,1,2
2009,150000,0,0,0,2,1,3
2006,65000,1,0,0,2,1,3
2006,120000,1,0,0,2,1,2
2014,240000,0,0,0,1,1,2
2017,390000,1,0,0,1,1,0
2012,180000,1,0,0,1,0,1
2012,320000,0,0,0,2,1,2
2018,310000,1,0,0,1,1,0
2018,420000,1,0,1,1,1,0
2019,550000,1,0,0,1,1,0
2016,550000,0,0,0,3,1,2
2018,760000,0,0,0,1,1,1
2001,43000,1,0,0,2,1,3
2018,250000,1,0,0,1,1,0
2019,500000,1,0,0,1,1,0
2015,380000,1,0,0,1,1,0
2019,1850000,0,0,1,1,1,0
2012,350000,0,0,0,1,1,2
2008,195000,0,0,0,2,1,2
2015,1125000,0,0,0,1,1,2
2011,133000,0,0,0,1,1,2
2013,200000,1,0,0,1,1,0
2018,940000,0,0,0,1,1,0
2014,400000,0,0,0,1,1,3
2005,110000,1,0,0,1,1,2
2012,490000,0,0,0,1,1,3
2009,140000,1,0,0,2,1,3
2011,175000,0,0,0,2,1,3
2005,90000,1,0,0,2,1,2
2009,275000,0,0,0,2,1,3
2011,300000,0,0,0,2,1,2
2018,270000,1,0,0,2,0,0
2010,130000,1,0,0,2,0,2
2012,352000,0,0,0,1,1,3
2012,180000,2,0,0,1,1,2
2012,150000,1,0,0,1,1,2
2010,300000,0,0,0,2,1,3
2007,225000,0,0,0,1,1,3
2014,600000,0,0,0,1,1,1
2015,500000,1,0,0,1,1,2
2016,600000,1,0,0,1,1,1
2011,450000,0,0,0,2,1,3
2009,270000,1,0,0,1,1,0
2010,310000,0,0,0,3,1,3
2019,700000,1,1,0,1,1,0
2018,650000,0,1,0,1,0,1
2012,400000,0,1,0,1,1,1
2012,425000,0,1,0,1,1,2
2016,600000,0,1,0,1,1,3
2013,600000,0,1,0,1,1,2
2009,300000,0,1,0,1,1,3
2012,450000,0,1,0,1,1,2
2014,750000,0,1,0,1,1,3
2010,325000,0,1,0,2,1,2
2013,900000,0,1,0,2,1,2
2006,180000,1,1,0,2,1,2
2013,350000,0,1,0,2,0,3
2013,600000,0,1,0,2,1,3
2019,900000,0,0,0,1,1,1
2006,350000,0,0,0,1,1,3
2013,280000,0,0,0,3,1,2
2009,225000,0,0,0,2,1,3
2014,520000,0,0,0,1,1,2
2016,509999,0,0,0,1,1,1
2019,556000,1,0,0,1,1,0
2014,225000,0,0,0,1,1,3
2013,325000,0,1,0,1,1,2
2015,850000,0,1,0,1,1,2
2013,350000,0,1,0,1,1,2
2007,225000,0,1,0,1,1,1
2011,135000,1,0,0,1,1,1
2007,140000,1,1,0,1,1,1
2016,665000,0,1,0,1,1,3
2015,275000,1,1,0,1,1,0
2017,2750000,0,0,1,1,1,1
2013,484999,0,1,0,1,1,2
2015,565000,0,1,0,1,1,2
2013,425000,0,1,0,1,1,1
2013,925000,0,0,0,1,1,2
2012,565000,0,1,0,1,1,2
2014,525000,0,1,0,1,1,2
2017,1650000,0,1,0,1,1,1
2015,295000,1,1,0,2,1,0
2012,2050000,1,1,1,2,2,2
2018,1475000,1,1,1,1,1,0
2017,1100000,1,0,1,1,1,0
2016,670000,1,1,0,1,1,0
2015,750000,0,1,0,1,1,1
2015,760000,1,1,0,1,1,1
2017,850000,1,1,1,2,1,0
2015,390000,0,1,0,1,1,1
2016,450000,1,1,1,2,1,1
